,immatriculation,01/01/2013,01/02/2013,01/03/2013,01/04/2013,01/05/2013,01/06/2013,01/07/2013,01/08/2013,01/09/2013,01/10/2013,01/11/2013,01/12/2013,01/01/2014,01/02/2014,01/03/2014,01/04/2014,01/05/2014,01/06/2014,01/07/2014,01/08/2014,01/09/2014,01/10/2014,01/11/2014,01/12/2014,01/01/2015,01/02/2015,01/03/2015,01/04/2015,01/05/2015,01/06/2015,01/07/2015,01/08/2015,01/09/2015,01/10/2015,01/11/2015,01/12/2015,01/01/2016,01/02/2016,01/03/2016,01/04/2016,01/05/2016,01/06/2016,01/07/2016,01/08/2016,01/09/2016,01/10/2016,01/11/2016,01/12/2016,01/01/2017,01/02/2017,01/03/2017,01/04/2017,01/05/2017,01/06/2017,01/07/2017,01/08/2017,01/09/2017,01/10/2017,01/11/2017,01/12/2017,01/01/2018,01/02/2018,01/03/2018,01/04/2018,01/05/2018,01/06/2018,01/07/2018,01/08/2018,01/09/2018,01/10/2018,01/11/2018,01/12/2018,01/01/2019,01/02/2019,01/03/2019,01/04/2019,01/05/2019,01/06/2019,01/07/2019,01/08/2019,01/09/2019,01/10/2019,01/11/2019,01/12/2019,01/01/2020,01/02/2020,01/03/2020,01/04/2020,01/05/2020,01/06/2020,01/07/2020,01/08/2020,01/09/2020,01/10/2020,01/11/2020,01/12/2020
0,Renault Zoe,70,440,1089,748,483,764,348,198,302,503,288,278,102,205,255,403,472,641,296,153,914,692,655,1182,260,734,570,1237,656,1482,694,329,989,1022,852,1581,733,1182,1370,990,945,1306,488,337,812,807,523,1909,1646,1565,1980,939,1230,1882,823,710,1267,775,776,1652,633,1155,2245,961,1085,1928,721,810,1482,1745,1895,2378,1496,1197,1536,1472,1331,1845,1491,979,1568,1939,1866,2097,5331,3076,1744,322,1165,6012,3834,1618,2878,2507,0,0
1,Tesla model 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,1153,251,321,1097,304,214,1061,178,225,1250,124,1025,1385,189,219,620,119,261,1083,73,0,0
2,Nissan Leaf,60,63,101,94,124,94,97,148,177,198,116,166,121,94,146,178,111,172,80,58,297,120,94,129,111,161,330,153,135,295,240,161,185,184,173,92,173,286,717,491,409,404,155,196,283,228,232,313,145,277,311,198,237,193,171,164,235,234,122,94,48,306,719,375,331,469,492,261,390,410,420,447,341,326,455,347,172,332,445,197,298,363,241,222,360,283,154,0,113,494,722,235,217,181,0,0
3,Bolloré Bluecar,58,50,50,51,49,0,10,20,70,207,50,43,81,0,194,69,105,82,171,50,136,120,62,100,120,59,50,112,46,90,74,1,199,202,130,83,91,65,96,122,77,91,76,57,78,188,1,2,0,0,12,2,0,0,2,0,1,0,0,39,10,0,14,1,27,10,19,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Smart Fortwo,12,58,45,33,10,14,4,1,19,52,100,130,31,25,23,68,41,47,59,20,64,46,22,63,39,23,19,53,43,45,20,8,23,12,29,22,4,8,1,2,0,1,0,0,1,0,9,0,0,0,0,0,0,127,98,75,124,150,163,201,98,72,33,69,68,95,66,72,81,108,133,383,306,87,104,110,78,87,80,55,127,491,106,159,99,93,42,0,68,198,142,90,152,160,0,0
5,Mia,29,18,22,11,13,12,25,0,26,17,23,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Peugeot iOn,6,12,38,2,3,5,1,10,27,28,32,14,15,26,13,18,33,16,7,6,9,4,10,6,14,12,23,21,26,101,81,74,94,100,68,111,161,109,103,86,65,127,77,100,127,72,72,92,110,112,143,51,55,47,44,42,48,69,83,70,56,41,98,59,63,91,60,52,85,68,258,99,59,42,127,58,32,34,13,23,16,42,21,12,6,0,0,0,2,1,2,1,1,0,0,0
7,Citroen C-Zero,13,5,3,1,3,1,0,15,11,17,10,1,15,16,6,6,58,19,7,0,14,6,4,3,10,18,14,10,14,38,28,27,47,54,62,75,62,87,102,52,50,73,38,40,109,47,75,42,50,33,33,27,21,18,46,28,75,61,64,89,43,35,46,42,37,77,45,27,63,54,224,53,60,22,93,53,58,76,30,26,68,23,21,13,414,162,12,89,247,548,28,10,1,3,0,0
8,BMW i3,0,0,0,0,0,0,0,0,0,10,49,9,6,19,27,14,12,13,27,17,16,14,8,20,8,19,25,20,19,55,19,11,23,18,23,39,36,28,34,32,28,36,19,22,31,24,48,46,51,53,72,41,71,61,80,37,117,109,80,84,83,82,152,104,117,108,111,96,107,82,81,144,229,196,207,202,160,179,147,193,241,240,324,475,137,153,98,0,122,249,195,93,178,168,0,0
9,Volkswagen E-Up,0,0,0,0,0,0,0,0,0,0,24,40,14,3,16,47,26,14,37,19,21,34,13,21,17,7,7,16,30,17,16,4,13,13,13,13,8,12,16,11,45,16,11,6,2,4,64,17,9,12,28,12,21,24,4,4,28,20,38,52,14,5,30,20,14,18,5,8,12,16,47,45,25,15,9,12,24,17,17,6,2,10,3,27,4,108,116,0,106,397,309,133,107,87,0,0
