,date,Renault Zoe,Tesla model 3,Nissan Leaf,Bolloré Bluecar,Smart Fortwo,Mia,Peugeot iOn,Citroen C-Zero,BMW i3,Volkswagen E-Up,Mitsubishi i-MiEV,Renault Fluence ZE,Tesla Model S,Ford Focus,Neoma,Audi TT Roadster,Volkswagen E-Golf,Kia Soul EV,Mercedes Classe B,BYD E6,Tesla Model X,Citroen E-Mehari,Hyundai Ioniq electrique,Nissan e-NV200 Evalia,Peugeot Partner tepee Electric,Smart Forfour,Citroen e-Berlingo Multispace,Bee Bee XS,Jaguar i-Pace,Hyundai Kona electrique,Kia e-Niro,Audi E-Tron,DS3 e-tense,Mercedes Benz EQC,Peugeot e208,Peugeot e2008,Mini Electric,Opel Corsa-E,Volkswagen ID.3,Kia E-soul,Renault Twingo ZE,MG ZS EV,Skoda Citigo,Mazda MX-30,Porsche Taycan,Seat MII,Honda E,Citroen E-C4,Peugeot Expert,Citroen E-Jumpy,Mercedes EQV,BMW I3 Rex,AIWAYS U5,Mercedes E-Vito,Autres,year,month
0,2013-01-01,70.0,0.0,60.0,58.0,12.0,29.0,6.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,1
1,2013-02-01,440.0,0.0,63.0,50.0,58.0,18.0,12.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,2
2,2013-03-01,1089.0,0.0,101.0,50.0,45.0,22.0,38.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,3
3,2013-04-01,748.0,0.0,94.0,51.0,33.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,4
4,2013-05-01,483.0,0.0,124.0,49.0,10.0,13.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,5
5,2013-06-01,764.0,0.0,94.0,0.0,14.0,12.0,5.0,1.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,6
6,2013-07-01,348.0,0.0,97.0,10.0,4.0,25.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,7
7,2013-08-01,198.0,0.0,148.0,20.0,1.0,0.0,10.0,15.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,8
8,2013-09-01,302.0,0.0,177.0,70.0,19.0,26.0,27.0,11.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,9
9,2013-10-01,503.0,0.0,198.0,207.0,52.0,17.0,28.0,17.0,10.0,0.0,6.0,1.0,17.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2013,10
10,2013-11-01,288.0,0.0,116.0,50.0,100.0,23.0,32.0,10.0,49.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2013,11
11,2013-12-01,278.0,0.0,166.0,43.0,130.0,5.0,14.0,1.0,9.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2013,12
12,2014-01-01,102.0,0.0,121.0,81.0,31.0,9.0,15.0,15.0,6.0,14.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2014,1
13,2014-02-01,205.0,0.0,94.0,0.0,25.0,0.0,26.0,16.0,19.0,3.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,2
14,2014-03-01,255.0,0.0,146.0,194.0,23.0,0.0,13.0,6.0,27.0,16.0,0.0,2.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3
15,2014-04-01,403.0,0.0,178.0,69.0,68.0,0.0,18.0,6.0,14.0,47.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4
16,2014-05-01,472.0,0.0,111.0,105.0,41.0,0.0,33.0,58.0,12.0,26.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,5
17,2014-06-01,641.0,0.0,172.0,82.0,47.0,0.0,16.0,19.0,13.0,14.0,0.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,6
18,2014-07-01,296.0,0.0,80.0,171.0,59.0,0.0,7.0,7.0,27.0,37.0,0.0,2.0,20.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,7
19,2014-08-01,153.0,0.0,58.0,50.0,20.0,0.0,6.0,0.0,17.0,19.0,0.0,0.0,15.0,2.0,0.0,0.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,8
20,2014-09-01,914.0,0.0,297.0,136.0,64.0,0.0,9.0,14.0,16.0,21.0,0.0,0.0,19.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,9
21,2014-10-01,692.0,0.0,120.0,120.0,46.0,0.0,4.0,6.0,14.0,34.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,10
22,2014-11-01,655.0,0.0,94.0,62.0,22.0,0.0,10.0,4.0,8.0,13.0,0.0,0.0,22.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,11
23,2014-12-01,1182.0,0.0,129.0,100.0,63.0,0.0,6.0,3.0,20.0,21.0,0.0,0.0,86.0,0.0,0.0,0.0,10.0,5.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,12
24,2015-01-01,260.0,0.0,111.0,120.0,39.0,0.0,14.0,10.0,8.0,17.0,0.0,0.0,26.0,0.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1
25,2015-02-01,734.0,0.0,161.0,59.0,23.0,0.0,12.0,18.0,19.0,7.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,2
26,2015-03-01,570.0,0.0,330.0,50.0,19.0,0.0,23.0,14.0,25.0,7.0,0.0,0.0,74.0,0.0,0.0,0.0,6.0,48.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,3
27,2015-04-01,1237.0,0.0,153.0,112.0,53.0,0.0,21.0,10.0,20.0,16.0,0.0,0.0,24.0,0.0,0.0,0.0,14.0,57.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2015,4
28,2015-05-01,656.0,0.0,135.0,46.0,43.0,0.0,26.0,14.0,19.0,30.0,1.0,0.0,50.0,0.0,0.0,0.0,20.0,17.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,5
29,2015-06-01,1482.0,0.0,295.0,90.0,45.0,0.0,101.0,38.0,55.0,17.0,0.0,0.0,132.0,0.0,0.0,0.0,15.0,41.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,6
30,2015-07-01,694.0,0.0,240.0,74.0,20.0,0.0,81.0,28.0,19.0,16.0,0.0,0.0,53.0,0.0,0.0,0.0,7.0,32.0,11.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,7
31,2015-08-01,329.0,0.0,161.0,1.0,8.0,0.0,74.0,27.0,11.0,4.0,1.0,0.0,49.0,0.0,0.0,0.0,6.0,31.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2015,8
32,2015-09-01,989.0,0.0,185.0,199.0,23.0,0.0,94.0,47.0,23.0,13.0,0.0,0.0,81.0,0.0,0.0,0.0,10.0,48.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,9
33,2015-10-01,1022.0,0.0,184.0,202.0,12.0,0.0,100.0,54.0,18.0,13.0,12.0,0.0,56.0,0.0,0.0,0.0,14.0,50.0,11.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,10
34,2015-11-01,852.0,0.0,173.0,130.0,29.0,0.0,68.0,62.0,23.0,13.0,24.0,0.0,46.0,1.0,0.0,0.0,11.0,65.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,11
35,2015-12-01,1581.0,0.0,92.0,83.0,22.0,0.0,111.0,75.0,39.0,13.0,15.0,0.0,97.0,0.0,0.0,0.0,3.0,74.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,12
36,2016-01-01,733.0,0.0,173.0,91.0,4.0,0.0,161.0,62.0,36.0,8.0,4.0,0.0,37.0,0.0,0.0,0.0,6.0,39.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,1
37,2016-02-01,1182.0,0.0,286.0,65.0,8.0,0.0,109.0,87.0,28.0,12.0,7.0,0.0,27.0,0.0,0.0,0.0,12.0,56.0,8.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,2
38,2016-03-01,1370.0,0.0,717.0,96.0,1.0,0.0,103.0,102.0,34.0,16.0,13.0,0.0,143.0,0.0,0.0,0.0,19.0,83.0,20.0,0.0,0.0,55.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,3
39,2016-04-01,990.0,0.0,491.0,122.0,2.0,0.0,86.0,52.0,32.0,11.0,13.0,0.0,38.0,0.0,0.0,0.0,10.0,138.0,5.0,0.0,0.0,112.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,4
40,2016-05-01,945.0,0.0,409.0,77.0,0.0,0.0,65.0,50.0,28.0,45.0,9.0,0.0,37.0,0.0,0.0,0.0,7.0,80.0,2.0,0.0,0.0,71.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,5
41,2016-06-01,1306.0,0.0,404.0,91.0,1.0,0.0,127.0,73.0,36.0,16.0,6.0,0.0,131.0,0.0,0.0,0.0,21.0,96.0,5.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,6
42,2016-07-01,488.0,0.0,155.0,76.0,0.0,0.0,77.0,38.0,19.0,11.0,9.0,0.0,41.0,0.0,0.0,0.0,3.0,59.0,2.0,0.0,0.0,84.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,7
43,2016-08-01,337.0,0.0,196.0,57.0,0.0,0.0,100.0,40.0,22.0,6.0,9.0,0.0,23.0,0.0,0.0,0.0,5.0,78.0,8.0,0.0,8.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,8
44,2016-09-01,812.0,0.0,283.0,78.0,1.0,0.0,127.0,109.0,31.0,2.0,9.0,0.0,132.0,0.0,0.0,0.0,6.0,96.0,8.0,0.0,40.0,18.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,9
45,2016-10-01,807.0,0.0,228.0,188.0,0.0,0.0,72.0,47.0,24.0,4.0,5.0,0.0,27.0,0.0,0.0,0.0,6.0,86.0,1.0,0.0,22.0,11.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2016,10
46,2016-11-01,523.0,0.0,232.0,1.0,9.0,0.0,72.0,75.0,48.0,64.0,8.0,0.0,29.0,0.0,0.0,0.0,5.0,92.0,4.0,0.0,19.0,5.0,87.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,11
47,2016-12-01,1909.0,0.0,313.0,2.0,0.0,0.0,92.0,42.0,46.0,17.0,9.0,0.0,120.0,0.0,0.0,0.0,2.0,89.0,17.0,0.0,70.0,13.0,60.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,12
48,2017-01-01,1646.0,0.0,145.0,0.0,0.0,0.0,110.0,50.0,51.0,9.0,7.0,0.0,45.0,0.0,0.0,0.0,0.0,93.0,2.0,0.0,27.0,11.0,37.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,1
49,2017-02-01,1565.0,0.0,277.0,0.0,0.0,0.0,112.0,33.0,53.0,12.0,7.0,0.0,55.0,0.0,0.0,0.0,2.0,79.0,0.0,0.0,12.0,19.0,37.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,2
