date;Modèle;Vente
2013-01-01;Renault Zoe;70.0
2013-02-01;Renault Zoe;440.0
2013-03-01;Renault Zoe;1089.0
2013-04-01;Renault Zoe;748.0
2013-05-01;Renault Zoe;483.0
2013-06-01;Renault Zoe;764.0
2013-07-01;Renault Zoe;348.0
2013-08-01;Renault Zoe;198.0
2013-09-01;Renault Zoe;302.0
2013-10-01;Renault Zoe;503.0
2013-11-01;Renault Zoe;288.0
2013-12-01;Renault Zoe;278.0
2014-01-01;Renault Zoe;102.0
2014-02-01;Renault Zoe;205.0
2014-03-01;Renault Zoe;255.0
2014-04-01;Renault Zoe;403.0
2014-05-01;Renault Zoe;472.0
2014-06-01;Renault Zoe;641.0
2014-07-01;Renault Zoe;296.0
2014-08-01;Renault Zoe;153.0
2014-09-01;Renault Zoe;914.0
2014-10-01;Renault Zoe;692.0
2014-11-01;Renault Zoe;655.0
2014-12-01;Renault Zoe;1182.0
2015-01-01;Renault Zoe;260.0
2015-02-01;Renault Zoe;734.0
2015-03-01;Renault Zoe;570.0
2015-04-01;Renault Zoe;1237.0
2015-05-01;Renault Zoe;656.0
2015-06-01;Renault Zoe;1482.0
2015-07-01;Renault Zoe;694.0
2015-08-01;Renault Zoe;329.0
2015-09-01;Renault Zoe;989.0
2015-10-01;Renault Zoe;1022.0
2015-11-01;Renault Zoe;852.0
2015-12-01;Renault Zoe;1581.0
2016-01-01;Renault Zoe;733.0
2016-02-01;Renault Zoe;1182.0
2016-03-01;Renault Zoe;1370.0
2016-04-01;Renault Zoe;990.0
2016-05-01;Renault Zoe;945.0
2016-06-01;Renault Zoe;1306.0
2016-07-01;Renault Zoe;488.0
2016-08-01;Renault Zoe;337.0
2016-09-01;Renault Zoe;812.0
2016-10-01;Renault Zoe;807.0
2016-11-01;Renault Zoe;523.0
2016-12-01;Renault Zoe;1909.0
2017-01-01;Renault Zoe;1646.0
2017-02-01;Renault Zoe;1565.0
2017-03-01;Renault Zoe;1980.0
2017-04-01;Renault Zoe;939.0
2017-05-01;Renault Zoe;1230.0
2017-06-01;Renault Zoe;1882.0
2017-07-01;Renault Zoe;823.0
2017-08-01;Renault Zoe;710.0
2017-09-01;Renault Zoe;1267.0
2017-10-01;Renault Zoe;775.0
2017-11-01;Renault Zoe;776.0
2017-12-01;Renault Zoe;1652.0
2018-01-01;Renault Zoe;633.0
2018-02-01;Renault Zoe;1155.0
2018-03-01;Renault Zoe;2245.0
2018-04-01;Renault Zoe;961.0
2018-05-01;Renault Zoe;1085.0
2018-06-01;Renault Zoe;1928.0
2018-07-01;Renault Zoe;721.0
2018-08-01;Renault Zoe;810.0
2018-09-01;Renault Zoe;1482.0
2018-10-01;Renault Zoe;1745.0
2018-11-01;Renault Zoe;1895.0
2018-12-01;Renault Zoe;2378.0
2019-01-01;Renault Zoe;1496.0
2019-02-01;Renault Zoe;1197.0
2019-03-01;Renault Zoe;1536.0
2019-04-01;Renault Zoe;1472.0
2019-05-01;Renault Zoe;1331.0
2019-06-01;Renault Zoe;1845.0
2019-07-01;Renault Zoe;1491.0
2019-08-01;Renault Zoe;979.0
2019-09-01;Renault Zoe;1568.0
2019-10-01;Renault Zoe;1939.0
2019-11-01;Renault Zoe;1866.0
2019-12-01;Renault Zoe;2097.0
2020-01-01;Renault Zoe;5331.0
2020-02-01;Renault Zoe;3076.0
2020-03-01;Renault Zoe;1744.0
2020-04-01;Renault Zoe;322.0
2020-05-01;Renault Zoe;1165.0
2020-06-01;Renault Zoe;6012.0
2020-07-01;Renault Zoe;3834.0
2020-08-01;Renault Zoe;1618.0
2020-09-01;Renault Zoe;2878.0
2020-10-01;Renault Zoe;2507.0
2020-11-01;Renault Zoe;0.0
2020-12-01;Renault Zoe;0.0
2013-01-01;Tesla model 3;0.0
2013-02-01;Tesla model 3;0.0
2013-03-01;Tesla model 3;0.0
2013-04-01;Tesla model 3;0.0
2013-05-01;Tesla model 3;0.0
2013-06-01;Tesla model 3;0.0
2013-07-01;Tesla model 3;0.0
2013-08-01;Tesla model 3;0.0
2013-09-01;Tesla model 3;0.0
2013-10-01;Tesla model 3;0.0
2013-11-01;Tesla model 3;0.0
2013-12-01;Tesla model 3;0.0
2014-01-01;Tesla model 3;0.0
2014-02-01;Tesla model 3;0.0
2014-03-01;Tesla model 3;0.0
2014-04-01;Tesla model 3;0.0
2014-05-01;Tesla model 3;0.0
2014-06-01;Tesla model 3;0.0
2014-07-01;Tesla model 3;0.0
2014-08-01;Tesla model 3;0.0
2014-09-01;Tesla model 3;0.0
2014-10-01;Tesla model 3;0.0
2014-11-01;Tesla model 3;0.0
2014-12-01;Tesla model 3;0.0
2015-01-01;Tesla model 3;0.0
2015-02-01;Tesla model 3;0.0
2015-03-01;Tesla model 3;0.0
2015-04-01;Tesla model 3;0.0
2015-05-01;Tesla model 3;0.0
