,Rang,Marque,Modèle,Volume,Marché %,Année
4,1,Renault,Mégane,188373,"9,1",2005
5,2,Renault,Clio,132982,"6,4",2005
6,3,Peugeot,206,119907,"5,8",2005
7,4,Peugeot,307,113484,"5,5",2005
8,5,Citroën,C3,79259,"3,8",2005
9,6,Peugeot,407,68130,"3,3",2005
10,7,Citroën,C4,63798,"3,1",2005
11,8,Renault,Modus,61877,"3,0",2005
12,9,Ford,Focus,48930,"2,4",2005
13,10,Renault,Twingo,45594,"2,2",2005
14,11,Citroën,Xsara,42756,"2,1",2005
15,12,Volkswagen,Golf,41802,"2,0",2005
16,13,Renault,Laguna,40140,"1,9",2005
17,14,Ford,Fiesta,29911,"1,4",2005
18,15,Volkswagen,Polo,29651,"1,4",2005
19,16,Opel,Astra,27691,"1,3",2005
20,17,Citroën,C2,27555,"1,3",2005
21,18,Toyota,Yaris,26451,"1,3",2005
22,19,Citroën,C5,25521,"1,2",2005
23,20,Renault,Kangoo,24192,"1,2",2005
24,21,Opel,Zafira,24182,"1,2",2005
25,22,Volkswagen,Touran,23750,"1,1",2005
26,23,Toyota,Corolla,23219,"1,1",2005
27,24,Opel,Meriva,20862,"1,0",2005
28,25,Opel,Corsa,20588,"1,0",2005
