,Rang,Marque,Modèle,Marché %,Année
0,1.0,Renault,Clio,"5,6",2016
1,2.0,Peugeot,208,"4,9",2016
2,3.0,Renault,megane,"4,5",2016
3,4.0,Peugeot,308,"3,7",2016
4,5.0,Citroën,C3,"3,7",2016
5,6.0,Renault,Captur,"3,5",2016
6,7.0,Peugeot,2008,"3,3",2016
7,8.0,Citroën,C4,"3,2",2016
8,9.0,Dacia,Sandero,"2,8",2016
9,10.0,Fiat,500,"2,2",2016
10,11.0,Volkswagen,Golf,"2,1",2016
11,12.0,Renault,Twingo,"2,0",2016
12,13.0,Volkswagen,Polo,"2,0",2016
13,14.0,Peugeot,3008,"1,9",2016
14,15.0,Renault,Kadjar,"1,9",2016
15,16.0,Dacia,Duster,"1,8",2016
16,17.0,Toyota,Yaris,"1,5",2016
17,18.0,mini,mini,"1,2",2016
18,19.0,Nissan,qashqai,"1,2",2016
19,20.0,Ford,Fiesta,"1,2",2016
20,21.0,opel,Corsa,"1,0",2016
21,24.0,Citroën,C4 Cactus,"1,0",2016
22,22.0,Volkswagen,Tiguan,"1,0",2016
23,23.0,Peugeot,508,"0,9",2016
24,25.0,opel,mokka,"0,9",2016
25,26.0,Ford,Focus,"0,9",2016
26,27.0,DS,DS3,"0,8",2016
27,28.0,Audi,A3,"0,8",2016
28,29.0,Volkswagen,Touran,"0,8",2016
29,30.0,Renault,Talisman,"0,8",2016
