,rang,marque,modele,volume,%_marche,annee
0,1.0,PEUGEOT,206,211 226,"9,4",2001
1,2.0,RENAULT,CLIO,189 472,"8,4",2001
2,3.0,RENAULT,MEGANE,175 053,"7,8",2001
3,4.0,CITROEN,XSARA,146 585,"6,5",2001
4,5.0,RENAULT,LAGUNA,99 247,"4,4",2001
5,6.0,PEUGEOT,307,86 213,"3,8",2001
6,7.0,RENAULT,TWINGO,78 891,"3,5",2001
7,8.0,CITROEN,SAXO,69 134,"3,1",2001
8,9.0,PEUGEOT,406,66 186,"2,9",2001
9,10.0,VOLKSWAGEN,GOLF,61 506,"2,7",2001
10,11.0,VOLKSWAGEN,POLO,51 986,"2,3",2001
11,12.0,FIAT,PUNTO,48 725,"2,2",2001
12,13.0,OPEL,CORSA,47 586,"2,1",2001
13,14.0,CITROEN,C5,39 446,"1,7",2001
14,15.0,FORD,FOCUS,38 741,"1,7",2001
15,16.0,OPEL,ZAFIRA,37 550,"1,7",2001
16,17.0,PEUGEOT,106,32 788,"1,5",2001
17,18.0,PEUGEOT,306,31 969,"1,4",2001
18,19.0,OPEL,ASTRA,28 985,"1,3",2001
19,20.0,FORD,FIESTA,28 132,"1,2",2001
20,21.0,VOLKSWAGEN,PASSAT,27 510,"1,2",2001
21,22.0,RENAULT,ESPACE,27 231,"1,2",2001
22,23.0,FORD,MONDEO,26 767,"1,2",2001
23,24.0,RENAULT,KANGOO,25 953,"1,2",2001
24,25.0,TOYOTA,YARIS,24 531,"1,1",2001
0,1.0,RENAULT,CLIO,188 210,"8,8",2002
1,2.0,PEUGEOT,206,181 929,"8,5",2002
2,3.0,RENAULT,MEGANE,158 486,"7,4",2002
3,4.0,PEUGEOT,307,154 986,"7,2",2002
4,5.0,CITROEN,XSARA,126 096,"5,9",2002
5,6.0,RENAULT,LAGUNA,95 118,"4,4",2002
6,7.0,RENAULT,TWINGO,67 588,"3,2",2002
7,8.0,VOLKSWAGEN,GOLF,54 925,"2,6",2002
8,9.0,CITROEN,C3,45 398,"2,1",2002
9,10.0,CITROEN,C5,44 333,"2,1",2002
10,11.0,CITROEN,SAXO,43 158,"2,0",2002
11,12.0,PEUGEOT,406,42 985,"2,0",2002
12,13.0,OPEL,ZAFIRA,40 217,"1,9",2002
13,14.0,VOLKSWAGEN,POLO,38 837,"1,8",2002
14,15.0,OPEL,CORSA,37 912,"1,8",2002
15,16.0,FIAT,PUNTO,36 689,"1,7",2002
16,17.0,FORD,FOCUS,34 927,"1,6",2002
17,18.0,FORD,FIESTA,30 636,"1,4",2002
18,19.0,RENAULT,KANGOO,27 860,"1,3",2002
19,20.0,VOLKSWAGEN,PASSAT,26 825,"1,3",2002
20,21.0,TOYOTA,YARIS,25 613,"1,2",2002
21,22.0,OPEL,ASTRA,24 900,"1,2",2002
22,23.0,RENAULT,ESPACE,23 857,"1,1",2002
23,24.0,BMW,SERIE 3,22 761,"1,1",2002
24,25.0,FORD,MONDEO,20 325,"0,9",2002
0,1,RENAULT,MEGANE,198874,"9,9",2003
1,2,RENAULT,CLIO,163069,"8,1",2003
2,3,PEUGEOT,206,159646,"7,9",2003
3,4,PEUGEOT,307,139924,"7,0",2003
4,5,CITROEN,XSARA,99151,"4,9",2003
5,6,CITROEN,C3,83533,"4,2",2003
6,7,RENAULT,LAGUNA,65253,"3,2",2003
7,8,RENAULT,TWINGO,53146,"2,6",2003
8,9,VOLKSWAGEN,GOLF,40878,"2,0",2003
9,10,OPEL,ZAFIRA,35045,"1,7",2003
