Année;Polluant;Fuel;Emissions;Type de véhicule
1990;NOx;Diesel;59.0;Voitures particulières
1991;NOx;Diesel;65.0;Voitures particulières
1992;NOx;Diesel;71.0;Voitures particulières
1993;NOx;Diesel;77.0;Voitures particulières
1994;NOx;Diesel;85.0;Voitures particulières
1995;NOx;Diesel;96.0;Voitures particulières
1996;NOx;Diesel;103.0;Voitures particulières
1997;NOx;Diesel;108.0;Voitures particulières
1998;NOx;Diesel;116.0;Voitures particulières
1999;NOx;Diesel;124.0;Voitures particulières
2000;NOx;Diesel;131.0;Voitures particulières
2001;NOx;Diesel;145.0;Voitures particulières
2002;NOx;Diesel;155.0;Voitures particulières
2003;NOx;Diesel;167.0;Voitures particulières
2004;NOx;Diesel;173.0;Voitures particulières
2005;NOx;Diesel;176.0;Voitures particulières
2006;NOx;Diesel;181.0;Voitures particulières
2007;NOx;Diesel;186.0;Voitures particulières
2008;NOx;Diesel;191.0;Voitures particulières
2009;NOx;Diesel;200.0;Voitures particulières
1990;COVNM;Diesel;14.0;Voitures particulières
1991;COVNM;Diesel;16.0;Voitures particulières
1992;COVNM;Diesel;16.0;Voitures particulières
1993;COVNM;Diesel;16.0;Voitures particulières
1994;COVNM;Diesel;15.0;Voitures particulières
1995;COVNM;Diesel;16.0;Voitures particulières
1996;COVNM;Diesel;16.0;Voitures particulières
1997;COVNM;Diesel;15.0;Voitures particulières
1998;COVNM;Diesel;15.0;Voitures particulières
1999;COVNM;Diesel;14.0;Voitures particulières
2000;COVNM;Diesel;12.0;Voitures particulières
2001;COVNM;Diesel;12.0;Voitures particulières
2002;COVNM;Diesel;12.0;Voitures particulières
2003;COVNM;Diesel;11.0;Voitures particulières
2004;COVNM;Diesel;11.0;Voitures particulières
2005;COVNM;Diesel;10.0;Voitures particulières
2006;COVNM;Diesel;9.0;Voitures particulières
2007;COVNM;Diesel;9.0;Voitures particulières
2008;COVNM;Diesel;9.0;Voitures particulières
2009;COVNM;Diesel;9.0;Voitures particulières
1990;CO;Diesel;56.0;Voitures particulières
1991;CO;Diesel;62.0;Voitures particulières
1992;CO;Diesel;66.0;Voitures particulières
1993;CO;Diesel;70.0;Voitures particulières
1994;CO;Diesel;70.0;Voitures particulières
1995;CO;Diesel;75.0;Voitures particulières
1996;CO;Diesel;78.0;Voitures particulières
1997;CO;Diesel;77.0;Voitures particulières
1998;CO;Diesel;75.0;Voitures particulières
1999;CO;Diesel;73.0;Voitures particulières
2000;CO;Diesel;63.0;Voitures particulières
2001;CO;Diesel;62.0;Voitures particulières
2002;CO;Diesel;58.0;Voitures particulières
2003;CO;Diesel;56.0;Voitures particulières
2004;CO;Diesel;51.0;Voitures particulières
2005;CO;Diesel;47.0;Voitures particulières
2006;CO;Diesel;44.0;Voitures particulières
2007;CO;Diesel;43.0;Voitures particulières
2008;CO;Diesel;41.0;Voitures particulières
2009;CO;Diesel;41.0;Voitures particulières
1990;PM10;Diesel;25.0;Voitures particulières
1991;PM10;Diesel;28.0;Voitures particulières
1992;PM10;Diesel;30.0;Voitures particulières
1993;PM10;Diesel;31.0;Voitures particulières
1994;PM10;Diesel;30.0;Voitures particulières
1995;PM10;Diesel;32.0;Voitures particulières
1996;PM10;Diesel;32.0;Voitures particulières
1997;PM10;Diesel;31.0;Voitures particulières
1998;PM10;Diesel;31.0;Voitures particulières
1999;PM10;Diesel;30.0;Voitures particulières
2000;PM10;Diesel;27.0;Voitures particulières
2001;PM10;Diesel;27.0;Voitures particulières
2002;PM10;Diesel;26.0;Voitures particulières
2003;PM10;Diesel;26.0;Voitures particulières
2004;PM10;Diesel;25.0;Voitures particulières
2005;PM10;Diesel;22.0;Voitures particulières
2006;PM10;Diesel;21.0;Voitures particulières
2007;PM10;Diesel;21.0;Voitures particulières
2008;PM10;Diesel;21.0;Voitures particulières
2009;PM10;Diesel;21.0;Voitures particulières
1990;PM2,5;Diesel;24.0;Voitures particulières
1991;PM2,5;Diesel;27.0;Voitures particulières
1992;PM2,5;Diesel;29.0;Voitures particulières
1993;PM2,5;Diesel;30.0;Voitures particulières
1994;PM2,5;Diesel;29.0;Voitures particulières
1995;PM2,5;Diesel;30.0;Voitures particulières
1996;PM2,5;Diesel;31.0;Voitures particulières
1997;PM2,5;Diesel;29.0;Voitures particulières
1998;PM2,5;Diesel;29.0;Voitures particulières
1999;PM2,5;Diesel;28.0;Voitures particulières
2000;PM2,5;Diesel;26.0;Voitures particulières
2001;PM2,5;Diesel;26.0;Voitures particulières
2002;PM2,5;Diesel;24.0;Voitures particulières
2003;PM2,5;Diesel;24.0;Voitures particulières
2004;PM2,5;Diesel;23.0;Voitures particulières
2005;PM2,5;Diesel;20.0;Voitures particulières
2006;PM2,5;Diesel;19.0;Voitures particulières
2007;PM2,5;Diesel;19.0;Voitures particulières
2008;PM2,5;Diesel;18.0;Voitures particulières
2009;PM2,5;Diesel;18.0;Voitures particulières
1990;PM1;Diesel;22.0;Voitures particulières
1991;PM1;Diesel;24.0;Voitures particulières
1992;PM1;Diesel;26.0;Voitures particulières
1993;PM1;Diesel;27.0;Voitures particulières
1994;PM1;Diesel;25.0;Voitures particulières
1995;PM1;Diesel;27.0;Voitures particulières
1996;PM1;Diesel;27.0;Voitures particulières
1997;PM1;Diesel;26.0;Voitures particulières
1998;PM1;Diesel;25.0;Voitures particulières
1999;PM1;Diesel;24.0;Voitures particulières
2000;PM1;Diesel;22.0;Voitures particulières
2001;PM1;Diesel;22.0;Voitures particulières
2002;PM1;Diesel;21.0;Voitures particulières
2003;PM1;Diesel;20.0;Voitures particulières
2004;PM1;Diesel;19.0;Voitures particulières
2005;PM1;Diesel;16.0;Voitures particulières
2006;PM1;Diesel;15.0;Voitures particulières
2007;PM1;Diesel;15.0;Voitures particulières
2008;PM1;Diesel;14.0;Voitures particulières
2009;PM1;Diesel;14.0;Voitures particulières
1990;BC;Diesel;13.0;Voitures particulières
1991;BC;Diesel;15.0;Voitures particulières
1992;BC;Diesel;16.0;Voitures particulières
1993;BC;Diesel;16.0;Voitures particulières
1994;BC;Diesel;16.0;Voitures particulières
1995;BC;Diesel;17.0;Voitures particulières
1996;BC;Diesel;18.0;Voitures particulières
1997;BC;Diesel;17.0;Voitures particulières
1998;BC;Diesel;17.0;Voitures particulières
1999;BC;Diesel;17.0;Voitures particulières
2000;BC;Diesel;15.0;Voitures particulières
2001;BC;Diesel;16.0;Voitures particulières
2002;BC;Diesel;15.0;Voitures particulières
2003;BC;Diesel;15.0;Voitures particulières
2004;BC;Diesel;15.0;Voitures particulières
2005;BC;Diesel;13.0;Voitures particulières
2006;BC;Diesel;12.0;Voitures particulières
2007;BC;Diesel;12.0;Voitures particulières
2008;BC;Diesel;12.0;Voitures particulières
2009;BC;Diesel;12.0;Voitures particulières
1990;du;Diesel;0.2;Voitures particulières
1991;du;Diesel;0.2;Voitures particulières
1992;du;Diesel;0.2;Voitures particulières
1993;du;Diesel;0.2;Voitures particulières
1994;du;Diesel;0.2;Voitures particulières
1995;du;Diesel;0.3;Voitures particulières
1996;du;Diesel;0.3;Voitures particulières
1997;du;Diesel;0.3;Voitures particulières
1998;du;Diesel;0.3;Voitures particulières
1999;du;Diesel;0.4;Voitures particulières
2000;du;Diesel;0.4;Voitures particulières
2001;du;Diesel;0.4;Voitures particulières
2002;du;Diesel;0.4;Voitures particulières
2003;du;Diesel;0.4;Voitures particulières
2004;du;Diesel;0.5;Voitures particulières
2005;du;Diesel;0.5;Voitures particulières
2006;du;Diesel;0.5;Voitures particulières
2007;du;Diesel;0.5;Voitures particulières
2008;du;Diesel;0.5;Voitures particulières
2009;du;Diesel;0.6;Voitures particulières
1990;Cd;Diesel;0.05;Voitures particulières
1991;Cd;Diesel;0.06;Voitures particulières
1992;Cd;Diesel;0.07;Voitures particulières
1993;Cd;Diesel;0.07;Voitures particulières
1994;Cd;Diesel;0.08;Voitures particulières
1995;Cd;Diesel;0.09;Voitures particulières
1996;Cd;Diesel;0.1;Voitures particulières
1997;Cd;Diesel;0.1;Voitures particulières
1998;Cd;Diesel;0.11;Voitures particulières
1999;Cd;Diesel;0.12;Voitures particulières
2000;Cd;Diesel;0.12;Voitures particulières
2001;Cd;Diesel;0.14;Voitures particulières
2002;Cd;Diesel;0.14;Voitures particulières
2003;Cd;Diesel;0.15;Voitures particulières
2004;Cd;Diesel;0.16;Voitures particulières
2005;Cd;Diesel;0.16;Voitures particulières
2006;Cd;Diesel;0.17;Voitures particulières
2007;Cd;Diesel;0.18;Voitures particulières
2008;Cd;Diesel;0.19;Voitures particulières
2009;Cd;Diesel;0.2;Voitures particulières
1990;Cr;Diesel;0.22;Voitures particulières
1991;Cr;Diesel;0.24;Voitures particulières
1992;Cr;Diesel;0.28;Voitures particulières
