Année;Essence;Diesel;Electriques;Emissions
2010;4.0;0.69;0.0;NOx
2011;3.9;0.74;0.0;NOx
2012;3.8;0.8;0.0;NOx
2013;3.7;0.8;0.0;NOx
2014;3.7;0.76;0.0;NOx
2015;3.6;0.74;0.0;NOx
2016;3.5;0.72;0.0;NOx
2017;3.4;0.71;0.0;NOx
2018;3.3;0.72;0.0;NOx
2010;26.0;0.13;0.0;COVNM
2011;26.0;0.14;0.0;COVNM
2012;24.0;0.15;0.0;COVNM
2013;23.0;0.15;0.0;COVNM
2014;23.0;0.15;0.0;COVNM
2015;22.0;0.14;0.0;COVNM
2016;21.0;0.14;0.0;COVNM
2017;20.0;0.13;0.0;COVNM
2018;19.0;0.13;0.0;COVNM
2010;100.0;0.78;0.0;CO
2011;90.0;0.84;0.0;CO
2012;84.0;0.9;0.0;CO
2013;78.0;0.91;0.0;CO
2014;73.0;0.86;0.0;CO
2015;69.0;0.85;0.0;CO
2016;64.0;0.84;0.0;CO
2017;60.0;0.85;0.0;CO
2018;57.0;0.87;0.0;CO
2010;0.53;0.14;0.0;PM10
2011;0.51;0.15;0.0;PM10
2012;0.49;0.16;0.0;PM10
2013;0.47;0.16;0.0;PM10
2014;0.45;0.15;0.0;PM10
2015;0.44;0.14;0.0;PM10
2016;0.42;0.13;0.0;PM10
2017;0.41;0.13;0.0;PM10
2018;0.4;0.13;0.0;PM10
2010;0.45;0.13;0.0;PM2,5
2011;0.43;0.14;0.0;PM2,5
2012;0.41;0.15;0.0;PM2,5
2013;0.39;0.15;0.0;PM2,5
2014;0.37;0.14;0.0;PM2,5
2015;0.36;0.14;0.0;PM2,5
2016;0.35;0.13;0.0;PM2,5
2017;0.33;0.12;0.0;PM2,5
2018;0.32;0.12;0.0;PM2,5
2010;0.28;0.12;0.0;PM1
2011;0.27;0.13;0.0;PM1
2012;0.25;0.14;0.0;PM1
2013;0.24;0.14;0.0;PM1
2014;0.22;0.13;0.0;PM1
2015;0.21;0.12;0.0;PM1
2016;0.2;0.11;0.0;PM1
2017;0.19;0.11;0.0;PM1
2018;0.18;0.11;0.0;PM1
2010;0.08;0.03;0.0;BC
2011;0.08;0.03;0.0;BC
2012;0.08;0.04;0.0;BC
2013;0.07;0.04;0.0;BC
2014;0.07;0.03;0.0;BC
2015;0.07;0.03;0.0;BC
2016;0.07;0.03;0.0;BC
2017;0.06;0.03;0.0;BC
2018;0.06;0.03;0.0;BC
2010;0.01;0.0;0.0;du
2011;0.01;0.0;0.0;du
2012;0.01;0.0;0.0;du
2013;0.01;0.0;0.0;du
2014;0.01;0.0;0.0;du
2015;0.01;0.0;0.0;du
2016;0.01;0.0;0.0;du
2017;0.01;0.0;0.0;du
2018;0.01;0.0;0.0;du
2010;0.02;0.0;0.0;Cd
2011;0.02;0.0;0.0;Cd
2012;0.02;0.0;0.0;Cd
2013;0.02;0.0;0.0;Cd
2014;0.02;0.0;0.0;Cd
2015;0.02;0.0;0.0;Cd
2016;0.02;0.0;0.0;Cd
2017;0.02;0.0;0.0;Cd
2018;0.02;0.0;0.0;Cd
2010;0.03;0.0;0.0;Cr
2011;0.03;0.0;0.0;Cr
2012;0.03;0.0;0.0;Cr
2013;0.03;0.0;0.0;Cr
2014;0.03;0.0;0.0;Cr
2015;0.03;0.0;0.0;Cr
2016;0.03;0.0;0.0;Cr
2017;0.03;0.0;0.0;Cr
2018;0.02;0.0;0.0;Cr
2010;2.1;0.13;0.0;Cu
2011;2.2;0.15;0.0;Cu
2012;2.2;0.16;0.0;Cu
2013;2.2;0.16;0.0;Cu
2014;2.1;0.15;0.0;Cu
2015;2.1;0.14;0.0;Cu
2016;2.1;0.14;0.0;Cu
2017;2.1;0.14;0.0;Cu
2018;2.1;0.15;0.0;Cu
2010;0.99;0.06;0.0;Pb
2011;1.0;0.07;0.0;Pb
2012;1.0;0.07;0.0;Pb
2013;1.0;0.07;0.0;Pb
2014;1.0;0.07;0.0;Pb
2015;0.99;0.07;0.0;Pb
2016;1.0;0.06;0.0;Pb
2017;0.99;0.07;0.0;Pb
2018;0.99;0.07;0.0;Pb
2010;6.1;0.17;0.0;Zn
2011;6.1;0.19;0.0;Zn
2012;6.0;0.2;0.0;Zn
2013;6.0;0.21;0.0;Zn
2014;5.9;0.19;0.0;Zn
2015;5.8;0.19;0.0;Zn
2016;5.8;0.19;0.0;Zn
2017;5.8;0.19;0.0;Zn
2018;5.7;0.2;0.0;Zn
2010;0.05;0.0;0.0;HAP
2011;0.05;0.0;0.0;HAP
2012;0.05;0.0;0.0;HAP
2013;0.05;0.0;0.0;HAP
2014;0.05;0.0;0.0;HAP
2015;0.05;0.0;0.0;HAP
2016;0.05;0.0;0.0;HAP
2017;0.05;0.0;0.0;HAP
2018;0.05;0.0;0.0;HAP
2010;0.37;0.05;0.0;PCDD-F
2011;0.34;0.05;0.0;PCDD-F
2012;0.32;0.06;0.0;PCDD-F
2013;0.31;0.06;0.0;PCDD-F
2014;0.29;0.06;0.0;PCDD-F
2015;0.27;0.06;0.0;PCDD-F
2016;0.25;0.05;0.0;PCDD-F
2017;0.24;0.06;0.0;PCDD-F
2018;0.22;0.06;0.0;PCDD-F
2010;0.011;0.001;0.0;SO2
2011;0.011;0.001;0.0;SO2
2012;0.011;0.001;0.0;SO2
2013;0.011;0.001;0.0;SO2
2014;0.011;0.001;0.0;SO2
2015;0.011;0.001;0.0;SO2
2016;0.011;0.001;0.0;SO2
2017;0.011;0.001;0.0;SO2
2018;0.011;0.001;0.0;SO2
2010;0.03;0.0;0.0;Ni
2011;0.03;0.0;0.0;Ni
2012;0.03;0.0;0.0;Ni
2013;0.03;0.0;0.0;Ni
2014;0.03;0.0;0.0;Ni
2015;0.03;0.0;0.0;Ni
2016;0.03;0.0;0.0;Ni
2017;0.03;0.0;0.0;Ni
2018;0.03;0.0;0.0;Ni
2010;826.0;0.0;0.0;benzène
2011;788.0;0.0;0.0;benzène
2012;748.0;0.0;0.0;benzène
2013;716.0;0.0;0.0;benzène
2014;683.0;0.0;0.0;benzène
2015;650.0;0.0;0.0;benzène
2016;613.0;0.0;0.0;benzène
2017;577.0;0.0;0.0;benzène
2018;540.0;0.0;0.0;benzène
