Année;Polluant;Fuel;Emissions
2010;NOx;Essence;4.0
2011;NOx;Essence;3.9
2012;NOx;Essence;3.8
2013;NOx;Essence;3.7
2014;NOx;Essence;3.7
2015;NOx;Essence;3.6
2016;NOx;Essence;3.5
2017;NOx;Essence;3.4
2018;NOx;Essence;3.3
2010;COVNM;Essence;26.0
2011;COVNM;Essence;26.0
2012;COVNM;Essence;24.0
2013;COVNM;Essence;23.0
2014;COVNM;Essence;23.0
2015;COVNM;Essence;22.0
2016;COVNM;Essence;21.0
2017;COVNM;Essence;20.0
2018;COVNM;Essence;19.0
2010;CO;Essence;100.0
2011;CO;Essence;90.0
2012;CO;Essence;84.0
2013;CO;Essence;78.0
2014;CO;Essence;73.0
2015;CO;Essence;69.0
2016;CO;Essence;64.0
2017;CO;Essence;60.0
2018;CO;Essence;57.0
2010;PM10;Essence;0.53
2011;PM10;Essence;0.51
2012;PM10;Essence;0.49
2013;PM10;Essence;0.47
2014;PM10;Essence;0.45
2015;PM10;Essence;0.44
2016;PM10;Essence;0.42
2017;PM10;Essence;0.41
2018;PM10;Essence;0.4
2010;PM2,5;Essence;0.45
2011;PM2,5;Essence;0.43
2012;PM2,5;Essence;0.41
2013;PM2,5;Essence;0.39
2014;PM2,5;Essence;0.37
2015;PM2,5;Essence;0.36
2016;PM2,5;Essence;0.35
2017;PM2,5;Essence;0.33
2018;PM2,5;Essence;0.32
2010;PM1;Essence;0.28
2011;PM1;Essence;0.27
2012;PM1;Essence;0.25
2013;PM1;Essence;0.24
2014;PM1;Essence;0.22
2015;PM1;Essence;0.21
2016;PM1;Essence;0.2
2017;PM1;Essence;0.19
2018;PM1;Essence;0.18
2010;BC;Essence;0.08
2011;BC;Essence;0.08
2012;BC;Essence;0.08
2013;BC;Essence;0.07
2014;BC;Essence;0.07
2015;BC;Essence;0.07
2016;BC;Essence;0.07
2017;BC;Essence;0.06
2018;BC;Essence;0.06
2010;du;Essence;0.01
2011;du;Essence;0.01
2012;du;Essence;0.01
2013;du;Essence;0.01
2014;du;Essence;0.01
2015;du;Essence;0.01
2016;du;Essence;0.01
2017;du;Essence;0.01
2018;du;Essence;0.01
2010;Cd;Essence;0.02
2011;Cd;Essence;0.02
2012;Cd;Essence;0.02
2013;Cd;Essence;0.02
2014;Cd;Essence;0.02
2015;Cd;Essence;0.02
2016;Cd;Essence;0.02
2017;Cd;Essence;0.02
2018;Cd;Essence;0.02
2010;Cr;Essence;0.03
2011;Cr;Essence;0.03
2012;Cr;Essence;0.03
2013;Cr;Essence;0.03
2014;Cr;Essence;0.03
2015;Cr;Essence;0.03
2016;Cr;Essence;0.03
2017;Cr;Essence;0.03
2018;Cr;Essence;0.02
2010;Cu;Essence;2.1
2011;Cu;Essence;2.2
2012;Cu;Essence;2.2
2013;Cu;Essence;2.2
2014;Cu;Essence;2.1
2015;Cu;Essence;2.1
2016;Cu;Essence;2.1
2017;Cu;Essence;2.1
2018;Cu;Essence;2.1
2010;Pb;Essence;0.99
2011;Pb;Essence;1.0
2012;Pb;Essence;1.0
2013;Pb;Essence;1.0
2014;Pb;Essence;1.0
2015;Pb;Essence;0.99
2016;Pb;Essence;1.0
2017;Pb;Essence;0.99
2018;Pb;Essence;0.99
2010;Zn;Essence;6.1
2011;Zn;Essence;6.1
2012;Zn;Essence;6.0
2013;Zn;Essence;6.0
2014;Zn;Essence;5.9
2015;Zn;Essence;5.8
2016;Zn;Essence;5.8
2017;Zn;Essence;5.8
2018;Zn;Essence;5.7
2010;HAP;Essence;0.05
2011;HAP;Essence;0.05
2012;HAP;Essence;0.05
2013;HAP;Essence;0.05
2014;HAP;Essence;0.05
2015;HAP;Essence;0.05
2016;HAP;Essence;0.05
2017;HAP;Essence;0.05
2018;HAP;Essence;0.05
2010;PCDD-F;Essence;0.37
2011;PCDD-F;Essence;0.34
2012;PCDD-F;Essence;0.32
2013;PCDD-F;Essence;0.31
2014;PCDD-F;Essence;0.29
2015;PCDD-F;Essence;0.27
2016;PCDD-F;Essence;0.25
2017;PCDD-F;Essence;0.24
2018;PCDD-F;Essence;0.22
2010;SO2;Essence;0.011
2011;SO2;Essence;0.011
2012;SO2;Essence;0.011
2013;SO2;Essence;0.011
2014;SO2;Essence;0.011
2015;SO2;Essence;0.011
2016;SO2;Essence;0.011
2017;SO2;Essence;0.011
2018;SO2;Essence;0.011
2010;Ni;Essence;0.03
2011;Ni;Essence;0.03
2012;Ni;Essence;0.03
2013;Ni;Essence;0.03
2014;Ni;Essence;0.03
2015;Ni;Essence;0.03
2016;Ni;Essence;0.03
2017;Ni;Essence;0.03
2018;Ni;Essence;0.03
2010;benzène;Essence;826.0
2011;benzène;Essence;788.0
2012;benzène;Essence;748.0
2013;benzène;Essence;716.0
2014;benzène;Essence;683.0
2015;benzène;Essence;650.0
2016;benzène;Essence;613.0
2017;benzène;Essence;577.0
2018;benzène;Essence;540.0
2010;NOx;Diesel;0.69
2011;NOx;Diesel;0.74
2012;NOx;Diesel;0.8
2013;NOx;Diesel;0.8
2014;NOx;Diesel;0.76
2015;NOx;Diesel;0.74
2016;NOx;Diesel;0.72
2017;NOx;Diesel;0.71
2018;NOx;Diesel;0.72
2010;COVNM;Diesel;0.13
2011;COVNM;Diesel;0.14
