Année;Polluant;Fuel;Emissions
1990;NOx;Essence;1.0
1991;NOx;Essence;1.1
1992;NOx;Essence;1.2
1993;NOx;Essence;1.5
1994;NOx;Essence;1.4
1995;NOx;Essence;1.3
1996;NOx;Essence;1.3
1997;NOx;Essence;1.6
1998;NOx;Essence;2.1
1999;NOx;Essence;2.3
2000;NOx;Essence;2.7
2001;NOx;Essence;3.1
2002;NOx;Essence;3.5
2003;NOx;Essence;3.6
2004;NOx;Essence;3.9
2005;NOx;Essence;4.0
2006;NOx;Essence;3.9
2007;NOx;Essence;4.1
2008;NOx;Essence;4.1
2009;NOx;Essence;4.2
1990;COVNM;Essence;41.0
1991;COVNM;Essence;39.0
1992;COVNM;Essence;38.0
1993;COVNM;Essence;45.0
1994;COVNM;Essence;38.0
1995;COVNM;Essence;32.0
1996;COVNM;Essence;31.0
1997;COVNM;Essence;37.0
1998;COVNM;Essence;44.0
1999;COVNM;Essence;43.0
2000;COVNM;Essence;44.0
2001;COVNM;Essence;43.0
2002;COVNM;Essence;42.0
2003;COVNM;Essence;38.0
2004;COVNM;Essence;37.0
2005;COVNM;Essence;34.0
2006;COVNM;Essence;31.0
2007;COVNM;Essence;29.0
2008;COVNM;Essence;28.0
2009;COVNM;Essence;28.0
1990;CO;Essence;108.0
1991;CO;Essence;108.0
1992;CO;Essence;111.0
1993;CO;Essence;138.0
1994;CO;Essence;121.0
1995;CO;Essence;105.0
1996;CO;Essence;105.0
1997;CO;Essence;130.0
1998;CO;Essence;163.0
1999;CO;Essence;169.0
2000;CO;Essence;180.0
2001;CO;Essence;188.0
2002;CO;Essence;195.0
2003;CO;Essence;183.0
2004;CO;Essence;181.0
2005;CO;Essence;167.0
2006;CO;Essence;145.0
2007;CO;Essence;132.0
2008;CO;Essence;119.0
2009;CO;Essence;111.0
1990;PM10;Essence;0.89
1991;PM10;Essence;0.84
1992;PM10;Essence;0.82
1993;PM10;Essence;0.97
1994;PM10;Essence;0.81
1995;PM10;Essence;0.68
1996;PM10;Essence;0.66
1997;PM10;Essence;0.78
1998;PM10;Essence;0.93
1999;PM10;Essence;0.92
2000;PM10;Essence;0.93
2001;PM10;Essence;0.91
2002;PM10;Essence;0.9
2003;PM10;Essence;0.8
2004;PM10;Essence;0.76
2005;PM10;Essence;0.69
2006;PM10;Essence;0.62
2007;PM10;Essence;0.58
2008;PM10;Essence;0.56
2009;PM10;Essence;0.56
