D2.2-b1 Émissions de NOx du transport routier par type de véhicule et motorisation ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;en milliers de tonnes
;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Voitures particulières;705;695;698;660;617;570;534;493;466;436;407;381;354;331;308;281;263;253;243;241;238;229;229;225;226;228;226;218;206
Diesel;59;65;71;77;85;96;103;108;116;124;131;145;155;167;173;176;181;186;191;200;204;202;207;207;210;215;214;207;197
Essence;644;628;625;581;531;473;430;382;346;307;271;232;195;161;134;104;82;66;52;41;33;27;21;18;16;13;12;10;9
GPL;2,2;2,0;1,7;1,4;1,2;0,9;1,5;2,6;4,1;4,9;4,7;4,1;3,3;2,6;2,1;1,7;1,4;1,1;0,9;0,7;0,7;0,7;0,5;0,4;0,4;0,3;0,2;0,2;0,1
GNV;0,001;0,001;0,001;0,005;0,003;0,001;0,002;0,001;0,001;0,001;0,002;0,011;0,022;0,017;0,020;0,021;0,024;0,018;0,021;0,018;0,016;0,023;0,022;0,022;0,014;0,012;0,009;0,006;0,005
Electriques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Véhicules utilitaires;183;188;188;185;184;175;168;165;159;154;148;147;144;139;133;127;121;113;106;104;105;102;103;108;113;120;123;128;125
Diesel;86;96;105;113;116;117;115;114;111;111;109;111;110;110;106;106;103;99;97;97;99;99;100;106;112;118;122;127;124
Essence;97;92;82;71;68;57;54;51;48;44;39;37;33;29;26;21;18;14;9;7;5;4;3;2;2;1;1;1;1
Electriques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Poids lourds;347;359;375;369;375;370;364;372;374;377;374;369;362;344;347;335;327;317;273;236;235;227;201;189;169;146;124;107;87
Diesel;347;359;374;369;375;370;364;372;373;376;374;369;361;344;347;335;327;317;273;235;235;226,9;201;189;168;145;123;107;87
Essence;0,29;0,29;0,28;0,26;0,25;0,24;0,23;0,24;0,24;0,24;0,25;0,23;0,25;0,22;0,23;0,24;0,22;0,16;0,14;0,12;0,11;0,10;0,08;0,07;0,03;0,03;0,01;0,00;0,00
GNV;0;0;0;0,01;0;0;0;0;0;0;0;0,05;0,06;0,08;0,09;0,11;0,15;0,17;0,21;0,20;0,22;0,39;0,43;0,50;0,57;0,58;0,61;0,67;0,79
Electriques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Deux roues;1,0;1,1;1,2;1,7;1,6;1,5;1,6;1,9;2,5;2,7;3,1;3,5;3,9;4,0;4,4;4,5;4,4;4,6;4,6;4,8;4,7;4,6;4,6;4,5;4,4;4,3;4,2;4,1;4,0
Essence;1,0;1,1;1,2;1,5;1,4;1,3;1,3;1,6;2,1;2,3;2,7;3,1;3,5;3,6;3,9;4,0;3,9;4,1;4,1;4,2;4,0;3,9;3,8;3,7;3,7;3,6;3,5;3,4;3,3
Diesel;0;0;0,040;0,11;0,17;0,22;0,27;0,32;0,36;0,39;0,42;0,43;0,44;0,44;0,44;0,45;0,48;0,52;0,57;0,63;0,69;0,74;0,80;0,80;0,76;0,74;0,72;0,71;0,72
Electriques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ensemble des véhicules;1237;1244;1262;1215;1178;1117;1068;1032;1001;969;933;901;863;818;793;748;716;688;627;586;582;564;538;528;513;498;477;457;422
