Année;Diesel;Essence;Autres;Emissions
2010;539.0;42.0;0.9;NOx
2011;529.0;34.0;1.1;NOx
2012;510.0;28.0;1.0;NOx
2013;502.0;24.0;1.0;NOx
2014;491.0;22.0;0.9;NOx
2015;479.0;18.0;0.9;NOx
2016;460.0;16.0;0.8;NOx
2017;442.0;15.0;0.8;NOx
2018;408.0;13.0;0.9;NOx
2010;26.0;82.0;1.15;COVNM
2011;23.0;71.0;1.12;COVNM
2012;21.0;62.0;1.04;COVNM
2013;18.0;57.0;0.9;COVNM
2014;15.0;52.0;0.71;COVNM
2015;14.0;50.0;0.67;COVNM
2016;12.0;47.0;0.57;COVNM
2017;11.0;45.0;0.49;COVNM
2018;9.0;43.0;0.42;COVNM
2010;150.0;518.0;6.9;CO
2011;141.0;409.0;6.6;CO
2012;130.0;358.0;5.8;CO
2013;117.0;319.0;4.9;CO
2014;107.0;268.0;3.9;CO
2015;97.0;278.0;3.6;CO
2016;85.0;261.0;3.1;CO
2017;77.0;245.0;2.6;CO
2018;65.0;229.0;2.2;CO
2010;40.0;4.0;0.05;PM10
2011;37.0;3.0;0.07;PM10
2012;35.0;3.0;0.07;PM10
2013;33.0;3.0;0.07;PM10
2014;31.0;3.0;0.07;PM10
2015;29.0;3.0;0.07;PM10
2016;28.0;3.0;0.07;PM10
2017;26.0;3.0;0.08;PM10
2018;24.0;3.0;0.09;PM10
2010;35.0;2.3;0.03;PM2,5
2011;32.0;2.1;0.04;PM2,5
2012;30.0;2.0;0.04;PM2,5
2013;28.0;1.9;0.04;PM2,5
2014;25.0;1.9;0.04;PM2,5
2015;24.0;1.9;0.04;PM2,5
2016;22.0;2.0;0.04;PM2,5
2017;20.0;2.0;0.04;PM2,5
2018;18.0;2.1;0.05;PM2,5
2010;27.0;0.7;0.0;PM1
2011;24.0;0.7;0.0;PM1
2012;22.0;0.6;0.0;PM1
2013;20.0;0.6;0.0;PM1
2014;18.0;0.6;0.0;PM1
2015;16.0;0.6;0.0;PM1
2016;15.0;0.6;0.0;PM1
2017;13.0;0.6;0.0;PM1
2018;11.0;0.6;0.0;PM1
2010;23.0;0.28;0.0;BC
2011;20.0;0.26;0.0;BC
2012;19.0;0.24;0.0;BC
2013;17.0;0.23;0.0;BC
2014;15.0;0.23;0.0;BC
2015;14.0;0.22;0.0;BC
2016;13.0;0.23;0.0;BC
2017;11.0;0.23;0.0;BC
2018;9.7;0.24;0.0;BC
2010;1.06;0.25;0.0;du
2011;1.09;0.24;0.0;du
2012;1.1;0.22;0.0;du
2013;1.12;0.22;0.0;du
2014;1.13;0.22;0.0;du
2015;1.14;0.22;0.0;du
2016;1.17;0.23;0.0;du
2017;1.16;0.24;0.0;du
2018;1.13;0.26;0.0;du
2010;0.33;0.12;0.0;Cd
2011;0.34;0.11;0.0;Cd
2012;0.35;0.1;0.0;Cd
2013;0.36;0.1;0.0;Cd
2014;0.36;0.1;0.0;Cd
2015;0.37;0.1;0.0;Cd
2016;0.38;0.11;0.0;Cd
2017;0.38;0.11;0.0;Cd
2018;0.37;0.11;0.0;Cd
2010;1.54;0.24;0.0;Cr
2011;1.6;0.23;0.0;Cr
2012;1.61;0.22;0.0;Cr
2013;1.63;0.21;0.0;Cr
2014;1.65;0.21;0.0;Cr
2015;1.68;0.21;0.0;Cr
2016;1.71;0.22;0.0;Cr
2017;1.7;0.22;0.0;Cr
2018;1.67;0.23;0.0;Cr
2010;109.0;28.0;0.5;Cu
2011;117.0;28.0;0.65;Cu
2012;115.0;25.0;0.65;Cu
2013;117.0;25.0;0.66;Cu
2014;116.0;25.0;0.68;Cu
2015;116.0;25.0;0.71;Cu
