Année;Diesel;Essence;Autres;Emissions
1990;493;742;2.2;NOx
1991;520;722;2.0;NOx
1992;551;709;1.7;NOx
1993;560;654;1.4;NOx
1994;576;600;1.2;NOx
1995;584;532;0.9;NOx
1996;582;485;1.5;NOx
1997;595;434;2.6;NOx
1998;601;396;4.1;NOx
1999;611;353;5.0;NOx
2000;615;313;4.7;NOx
2001;626;272;4.1;NOx
2002;628;232;3.3;NOx
2003;621;194;2.7;NOx
2004;626;164;2.2;NOx
2005;617;129;1.8;NOx
2006;611;103;1.5;NOx
2007;603;84;1.3;NOx
2008;560;65;1.1;NOx
2009;533;52;0.9;NOx
1990;52;857;0.74;COVNM
1991;56;832;0.73;COVNM
1992;58;820;0.62;COVNM
1993;59;769;0.57;COVNM
1994;57;695;0.47;COVNM
1995;56;631;0.42;COVNM
1996;56;568;0.71;COVNM
1997;57;525;1.36;COVNM
1998;53;485;2.24;COVNM
1999;52;450;2.94;COVNM
2000;47;387;2.83;COVNM
2001;45;350;2.78;COVNM
2002;43;307;2.39;COVNM
2003;41;266;2.05;COVNM
2004;40;230;1.83;COVNM
2005;39;190;1.70;COVNM
2006;37;157;1.48;COVNM
2007;35;132;1.28;COVNM
2008;30;110;1.17;COVNM
2009;27;95;1.01;COVNM
1990;218;5363;7.6;CO
1991;235;5286;7.3;CO
1992;252;5049;6.2;CO
1993;261;4731;5.5;CO
1994;263;4042;4.6;CO
1995;265;3806;3.8;CO
1996;261;3458;6.3;CO
1997;258;3109;11.6;CO
1998;250;2874;19.5;CO
1999;243;2657;24.5;CO
2000;224;2219;25.2;CO
2001;219;2059;22.9;CO
2002;211;1808;19.0;CO
2003;204;1589;15.7;CO
2004;201;1441;13.6;CO
2005;194;1179;11.7;CO
2006;189;975;10.1;CO
2007;181;867;8.7;CO
2008;163;714;7.8;CO
2009;151;597;6.4;CO
1990;62;12;0.02;PM10
1991;69;11;0.01;PM10
1992;73;10;0.01;PM10
1993;76;10;0.01;PM10
1994;75;9;0.01;PM10
1995;76;8;0.01;PM10
1996;76;7;0.01;PM10
1997;73;7;0.03;PM10
1998;70;7;0.05;PM10
1999;68;7;0.06;PM10
2000;62;6;0.07;PM10
2001;61;6;0.07;PM10
2002;58;6;0.06;PM10
2003;56;5;0.06;PM10
2004;54;5;0.05;PM10
2005;48;5;0.05;PM10
2006;46;5;0.05;PM10
2007;44;4;0.05;PM10
2008;41;4;0.05;PM10
2009;40;4;0.04;PM10
1990;59;9.4;0.01;PM2,5
1991;66;8.7;0.01;PM2,5
1992;70;8.1;0.01;PM2,5
1993;73;7.4;0.01;PM2,5
1994;72;6.5;0.01;PM2,5
1995;73;5.8;0.00;PM2,5
1996;72;5.4;0.01;PM2,5
1997;69;5.1;0.02;PM2,5
1998;67;4.9;0.03;PM2,5
1999;64;4.7;0.04;PM2,5
2000;58;4.3;0.04;PM2,5
2001;57;3.9;0.04;PM2,5
2002;54;3.7;0.03;PM2,5
2003;52;3.5;0.03;PM2,5
2004;49;3.4;0.03;PM2,5
2005;43;3.1;0.03;PM2,5
2006;41;2.9;0.03;PM2,5
2007;39;2.8;0.03;PM2,5
2008;36;2.5;0.03;PM2,5
2009;35;2.4;0.02;PM2,5
1990;52;5.0;0;PM1
1991;58;4.6;0;PM1
1992;62;4.1;0;PM1
1993;64;3.7;0;PM1
1994;63;3.1;0;PM1
1995;64;2.7;0;PM1
1996;63;2.4;0;PM1
1997;60;2.2;0;PM1
1998;58;2.1;0;PM1
1999;55;1.9;0;PM1
2000;50;1.7;0;PM1
2001;48;1.4;0;PM1
2002;45;1.3;0;PM1
2003;44;1.2;0;PM1
2004;41;1.1;0;PM1
2005;35;1.0;0;PM1
2006;33;0.9;0;PM1
2007;31;0.9;0;PM1
2008;29;0.8;0;PM1
2009;27;0.8;0;PM1
1990;31;0.96;0;BC
1991;34;0.94;0;BC
1992;36;0.91;0;BC
1993;38;0.86;0;BC
1994;38;0.76;0;BC
1995;39;0.69;0;BC
1996;39;0.64;0;BC
1997;38;0.60;0;BC
1998;37;0.59;0;BC
1999;36;0.56;0;BC
2000;34;0.52;0;BC
2001;34;0.45;0;BC
2002;32;0.44;0;BC
2003;32;0.42;0;BC
2004;31;0.40;0;BC
2005;27;0.38;0;BC
2006;26;0.35;0;BC
2007;25;0.34;0;BC
2008;23;0.31;0;BC
2009;22;0.29;0;BC
1990;0.52;0.52;0;du
1991;0.56;0.51;0;du
1992;0.60;0.51;0;du
1993;0.62;0.49;0;du
1994;0.65;0.48;0;du
1995;0.69;0.45;0;du
1996;0.71;0.44;0;du
1997;0.74;0.44;0;du
1998;0.77;0.43;0;du
1999;0.80;0.43;0;du
2000;0.82;0.41;0;du
2001;0.86;0.41;0;du
2002;0.89;0.39;0;du
2003;0.92;0.38;0;du
2004;0.94;0.36;0;du
2005;0.96;0.34;0;du
2006;0.99;0.32;0;du
2007;1.02;0.31;0;du
2008;1.01;0.28;0;du
2009;1.02;0.27;0;du
1990;0.13;0.21;0;Cd
1991;0.14;0.20;0;Cd
1992;0.16;0.20;0;Cd
1993;0.17;0.20;0;Cd
1994;0.18;0.19;0;Cd
1995;0.19;0.18;0;Cd
1996;0.20;0.18;0;Cd
1997;0.21;0.18;0;Cd
1998;0.22;0.18;0;Cd
1999;0.23;0.18;0;Cd
2000;0.23;0.17;0;Cd
2001;0.25;0.17;0;Cd
2002;0.26;0.17;0;Cd
2003;0.27;0.16;0;Cd
2004;0.27;0.16;0;Cd
2005;0.28;0.15;0;Cd
2006;0.29;0.14;0;Cd
2007;0.30;0.13;0;Cd
2008;0.31;0.13;0;Cd
2009;0.31;0.12;0;Cd
1990;0.72;0.46;0;Cr
1991;0.78;0.45;0;Cr
1992;0.84;0.45;0;Cr
1993;0.88;0.43;0;Cr
1994;0.93;0.41;0;Cr
1995;0.98;0.39;0;Cr
1996;1.01;0.38;0;Cr
1997;1.06;0.38;0;Cr
1998;1.09;0.37;0;Cr
1999;1.14;0.38;0;Cr
2000;1.15;0.36;0;Cr
2001;1.22;0.36;0;Cr
2002;1.26;0.35;0;Cr
2003;1.30;0.33;0;Cr
2004;1.33;0.33;0;Cr
2005;1.37;0.31;0;Cr
2006;1.41;0.30;0;Cr
2007;1.46;0.29;0;Cr
2008;1.46;0.26;0;Cr
2009;1.47;0.25;0;Cr
1990;54;51;0.13;Cu
1991;58;50;0.12;Cu
1992;62;50;0.10;Cu
1993;64;47;0.09;Cu
1994;67;45;0.08;Cu
1995;70;43;0.07;Cu
1996;72;42;0.11;Cu
1997;75;41;0.23;Cu
1998;75;40;0.38;Cu
1999;80;41;0.52;Cu
2000;79;39;0.53;Cu
2001;83;39;0.56;Cu
2002;87;38;0.51;Cu
2003;90;37;0.49;Cu
2004;93;37;0.47;Cu
2005;98;36;0.46;Cu
2006;102;35;0.47;Cu
