Année;Polluant;Fuel;Emissions
1990;NOx;Diesel;493.0
1991;NOx;Diesel;520.0
1992;NOx;Diesel;551.0
1993;NOx;Diesel;560.0
1994;NOx;Diesel;576.0
1995;NOx;Diesel;584.0
1996;NOx;Diesel;582.0
1997;NOx;Diesel;595.0
1998;NOx;Diesel;601.0
1999;NOx;Diesel;611.0
2000;NOx;Diesel;615.0
2001;NOx;Diesel;626.0
2002;NOx;Diesel;628.0
2003;NOx;Diesel;621.0
2004;NOx;Diesel;626.0
2005;NOx;Diesel;617.0
2006;NOx;Diesel;611.0
2007;NOx;Diesel;603.0
2008;NOx;Diesel;560.0
2009;NOx;Diesel;533.0
1990;COVNM;Diesel;52.0
1991;COVNM;Diesel;56.0
1992;COVNM;Diesel;58.0
1993;COVNM;Diesel;59.0
1994;COVNM;Diesel;57.0
1995;COVNM;Diesel;56.0
1996;COVNM;Diesel;56.0
1997;COVNM;Diesel;57.0
1998;COVNM;Diesel;53.0
1999;COVNM;Diesel;52.0
2000;COVNM;Diesel;47.0
2001;COVNM;Diesel;45.0
2002;COVNM;Diesel;43.0
2003;COVNM;Diesel;41.0
2004;COVNM;Diesel;40.0
2005;COVNM;Diesel;39.0
2006;COVNM;Diesel;37.0
2007;COVNM;Diesel;35.0
2008;COVNM;Diesel;30.0
2009;COVNM;Diesel;27.0
1990;CO;Diesel;218.0
1991;CO;Diesel;235.0
1992;CO;Diesel;252.0
1993;CO;Diesel;261.0
1994;CO;Diesel;263.0
1995;CO;Diesel;265.0
1996;CO;Diesel;261.0
1997;CO;Diesel;258.0
1998;CO;Diesel;250.0
1999;CO;Diesel;243.0
2000;CO;Diesel;224.0
2001;CO;Diesel;219.0
2002;CO;Diesel;211.0
2003;CO;Diesel;204.0
2004;CO;Diesel;201.0
2005;CO;Diesel;194.0
2006;CO;Diesel;189.0
2007;CO;Diesel;181.0
2008;CO;Diesel;163.0
2009;CO;Diesel;151.0
1990;PM10;Diesel;62.0
1991;PM10;Diesel;69.0
1992;PM10;Diesel;73.0
1993;PM10;Diesel;76.0
1994;PM10;Diesel;75.0
1995;PM10;Diesel;76.0
1996;PM10;Diesel;76.0
1997;PM10;Diesel;73.0
1998;PM10;Diesel;70.0
1999;PM10;Diesel;68.0
2000;PM10;Diesel;62.0
2001;PM10;Diesel;61.0
2002;PM10;Diesel;58.0
2003;PM10;Diesel;56.0
2004;PM10;Diesel;54.0
2005;PM10;Diesel;48.0
2006;PM10;Diesel;46.0
2007;PM10;Diesel;44.0
2008;PM10;Diesel;41.0
2009;PM10;Diesel;40.0
1990;PM2,5;Diesel;59.0
1991;PM2,5;Diesel;66.0
1992;PM2,5;Diesel;70.0
1993;PM2,5;Diesel;73.0
1994;PM2,5;Diesel;72.0
1995;PM2,5;Diesel;73.0
1996;PM2,5;Diesel;72.0
1997;PM2,5;Diesel;69.0
1998;PM2,5;Diesel;67.0
1999;PM2,5;Diesel;64.0
2000;PM2,5;Diesel;58.0
2001;PM2,5;Diesel;57.0
2002;PM2,5;Diesel;54.0
2003;PM2,5;Diesel;52.0
2004;PM2,5;Diesel;49.0
2005;PM2,5;Diesel;43.0
2006;PM2,5;Diesel;41.0
2007;PM2,5;Diesel;39.0
2008;PM2,5;Diesel;36.0
2009;PM2,5;Diesel;35.0
1990;PM1;Diesel;52.0
1991;PM1;Diesel;58.0
1992;PM1;Diesel;62.0
1993;PM1;Diesel;64.0
1994;PM1;Diesel;63.0
1995;PM1;Diesel;64.0
1996;PM1;Diesel;63.0
1997;PM1;Diesel;60.0
1998;PM1;Diesel;58.0
1999;PM1;Diesel;55.0
2000;PM1;Diesel;50.0
2001;PM1;Diesel;48.0
2002;PM1;Diesel;45.0
2003;PM1;Diesel;44.0
2004;PM1;Diesel;41.0
2005;PM1;Diesel;35.0
2006;PM1;Diesel;33.0
2007;PM1;Diesel;31.0
2008;PM1;Diesel;29.0
2009;PM1;Diesel;27.0
1990;BC;Diesel;31.0
1991;BC;Diesel;34.0
1992;BC;Diesel;36.0
1993;BC;Diesel;38.0
1994;BC;Diesel;38.0
1995;BC;Diesel;39.0
1996;BC;Diesel;39.0
1997;BC;Diesel;38.0
1998;BC;Diesel;37.0
1999;BC;Diesel;36.0
2000;BC;Diesel;34.0
2001;BC;Diesel;34.0
2002;BC;Diesel;32.0
2003;BC;Diesel;32.0
2004;BC;Diesel;31.0
2005;BC;Diesel;27.0
2006;BC;Diesel;26.0
2007;BC;Diesel;25.0
2008;BC;Diesel;23.0
2009;BC;Diesel;22.0
1990;du;Diesel;0.52
1991;du;Diesel;0.56
1992;du;Diesel;0.6
1993;du;Diesel;0.62
1994;du;Diesel;0.65
1995;du;Diesel;0.69
1996;du;Diesel;0.71
1997;du;Diesel;0.74
1998;du;Diesel;0.77
1999;du;Diesel;0.8
2000;du;Diesel;0.82
2001;du;Diesel;0.86
2002;du;Diesel;0.89
2003;du;Diesel;0.92
