Année;Diesel;Essence;GNV;Electriques;Emissions
2010;235;0.11;0.22;0;NOx
2011;226.9;0.10;0.39;0;NOx
2012;201;0.08;0.43;0;NOx
2013;189;0.07;0.50;0;NOx
2014;168;0.03;0.57;0;NOx
2015;145;0.03;0.58;0;NOx
2016;123;0.01;0.61;0;NOx
2017;107;0.00;0.67;0;NOx
2018;87;0.00;0.79;0;NOx
2010;8;0.10;0.1;0;COVNM
2011;8;0.09;0.1;0;COVNM
2012;6;0.07;0.1;0;COVNM
2013;5;0.06;0.1;0;COVNM
2014;5;0.03;0.1;0;COVNM
2015;4;0.02;0.1;0;COVNM
2016;3;0.01;0.1;0;COVNM
2017;3;0;0.1;0;COVNM
2018;3;0;0.1;0;COVNM
2010;57;0.10;0.13;0;CO
2011;55;0.09;0.20;0;CO
2012;50;0.07;0.20;0;CO
2013;49;0.06;0.21;0;CO
2014;45;0.03;0.22;0;CO
2015;39;0.03;0.21;0;CO
2016;34;0;0.20;0;CO
2017;29;0;0.19;0;CO
2018;24;0;0.21;0;CO
2010;7;0;0;0;PM10
2011;7;0;0.01;0;PM10
2012;6;0;0.01;0;PM10
2013;6;0;0.01;0;PM10
2014;6;0;0.02;0;PM10
2015;5;0;0.02;0;PM10
2016;5;0;0.02;0;PM10
2017;5;0;0.02;0;PM10
2018;4;0;0.02;0;PM10
2010;6;0;0;0;PM2,5
2011;6;0;0;0;PM2,5
2012;5;0;0;0;PM2,5
2013;5;0;0;0;PM2,5
2014;4;0;0;0;PM2,5
2015;4;0;0;0;PM2,5
2016;3;0;0;0;PM2,5
2017;3;0;0;0;PM2,5
2018;3;0;0;0;PM2,5
2010;4;0;0;0;PM1
2011;4;0;0;0;PM1
2012;3;0;0;0;PM1
2013;3;0;0;0;PM1
2014;2;0;0;0;PM1
2015;2;0;0;0;PM1
2016;2;0;0;0;PM1
2017;2;0;0;0;PM1
2018;1;0;0;0;PM1
2010;3.0;0;0;0;BC
2011;2.8;0;0;0;BC
2012;2.3;0;0;0;BC
2013;2.1;0;0;0;BC
2014;1.8;0;0;0;BC
2015;1.6;0;0;0;BC
2016;1.3;0;0;0;BC
2017;1.1;0;0;0;BC
2018;0.94;0;0;0;BC
2010;0.31;0;0;0;du
2011;0.32;0;0;0;du
2012;0.30;0;0;0;du
2013;0.31;0;0;0;du
2014;0.30;0;0;0;du
2015;0.30;0;0;0;du
2016;0.31;0;0;0;du
2017;0.31;0;0;0;du
2018;0.31;0;0;0;du
2010;0.05;0;0;0;Cd
2011;0.06;0;0;0;Cd
2012;0.05;0;0;0;Cd
2013;0.05;0;0;0;Cd
2014;0.05;0;0;0;Cd
2015;0.05;0;0;0;Cd
2016;0.05;0;0;0;Cd
2017;0.05;0;0;0;Cd
2018;0.05;0;0;0;Cd
2010;0.38;0;0;0;Cr
2011;0.40;0;0;0;Cr
2012;0.38;0;0;0;Cr
2013;0.38;0;0;0;Cr
2014;0.37;0;0;0;Cr
2015;0.37;0;0;0;Cr
2016;0.37;0;0;0;Cr
2017;0.38;0;0;0;Cr
2018;0.38;0;0;0;Cr
2010;30;0.03;0;0;Cu
2011;32;0.03;0;0;Cu
2012;30;0.02;0;0;Cu
2013;31;0.02;0;0;Cu
2014;30;0.01;0;0;Cu
2015;30;0;0;0;Cu
2016;30;0;0;0;Cu
2017;31;0;0;0.01;Cu
2018;31;0;0;0.02;Cu
2010;0.96;0;0;0;Pb
2011;1.02;0;0;0;Pb
2012;0.97;0;0;0;Pb
2013;0.97;0;0;0;Pb
2014;0.96;0;0;0;Pb
2015;0.95;0;0;0;Pb
2016;0.97;0;0;0;Pb
2017;0.99;0;0;0;Pb
2018;0.99;0;0;0;Pb
2010;41.93;0.03;0.08;0;Zn
2011;44.06;0.03;0.15;0.00;Zn
2012;41.66;0.02;0.16;0.00;Zn
2013;42.14;0.018;0.18;0.00;Zn
2014;41.66;0.009;0.20;0.01;Zn
2015;40.98;0.008;0.21;0.01;Zn
2016;41.95;0.003;0.23;0.01;Zn
2017;42.94;0;0.25;0.01;Zn
2018;43.10;0.001;0.29;0.02;Zn
2010;0.53;0;0;0;HAP
2011;0.54;0;0;0;HAP
2012;0.51;0;0;0;HAP
2013;0.52;0;0;0;HAP
2014;0.52;0;0;0;HAP
2015;0.51;0;0;0;HAP
2016;0.52;0;0;0;HAP
2017;0.53;0;0;0;HAP
2018;0.53;0;0;0;HAP
2010;1.86;0;0;0;PCDD-F
2011;1.67;0;0;0;PCDD-F
2012;1.34;0;0;0;PCDD-F
2013;1.13;0;0;0;PCDD-F
2014;0.91;0;0;0;PCDD-F
2015;0.77;0;0;0;PCDD-F
2016;0.64;0;0;0;PCDD-F
2017;0.54;0;0;0;PCDD-F
2018;0.43;0;0;0;PCDD-F
2010;0.19;0;0;0;SO2
2011;0.20;0;0;0;SO2
2012;0.18;0;0;0;SO2
2013;0.19;0;0;0;SO2
2014;0.18;0;0;0;SO2
2015;0.18;0;0;0;SO2
2016;0.18;0;0;0;SO2
2017;0.19;0;0;0;SO2
2018;0.18;0;0;0;SO2
2010;0.26;0;0;0;Ni
2011;0.28;0;0;0;Ni
2012;0.26;0;0;0;Ni
2013;0.26;0;0;0;Ni
2014;0.26;0;0;0;Ni
2015;0.26;0;0;0;Ni
2016;0.26;0;0;0;Ni
2017;0.27;0;0;0;Ni
2018;0.27;0;0;0;Ni
2010;446;4.5;0;0;benzène
2011;410;4.1;0;0;benzène
2012;331;3.3;0;0;benzène
2013;288;2.8;0;0;benzène
2014;247;1.4;0;0;benzène
2015;214;1.2;0;0;benzène
