Année;Polluant;Fuel;Emissions
2010;NOx;Diesel;235.0
2011;NOx;Diesel;226.9
2012;NOx;Diesel;201.0
2013;NOx;Diesel;189.0
2014;NOx;Diesel;168.0
2015;NOx;Diesel;145.0
2016;NOx;Diesel;123.0
2017;NOx;Diesel;107.0
2018;NOx;Diesel;87.0
2010;COVNM;Diesel;8.0
2011;COVNM;Diesel;8.0
2012;COVNM;Diesel;6.0
2013;COVNM;Diesel;5.0
2014;COVNM;Diesel;5.0
2015;COVNM;Diesel;4.0
2016;COVNM;Diesel;3.0
2017;COVNM;Diesel;3.0
2018;COVNM;Diesel;3.0
2010;CO;Diesel;57.0
2011;CO;Diesel;55.0
2012;CO;Diesel;50.0
2013;CO;Diesel;49.0
2014;CO;Diesel;45.0
2015;CO;Diesel;39.0
2016;CO;Diesel;34.0
2017;CO;Diesel;29.0
2018;CO;Diesel;24.0
2010;PM10;Diesel;7.0
2011;PM10;Diesel;7.0
2012;PM10;Diesel;6.0
2013;PM10;Diesel;6.0
2014;PM10;Diesel;6.0
2015;PM10;Diesel;5.0
2016;PM10;Diesel;5.0
2017;PM10;Diesel;5.0
2018;PM10;Diesel;4.0
2010;PM2,5;Diesel;6.0
2011;PM2,5;Diesel;6.0
2012;PM2,5;Diesel;5.0
2013;PM2,5;Diesel;5.0
2014;PM2,5;Diesel;4.0
2015;PM2,5;Diesel;4.0
2016;PM2,5;Diesel;3.0
2017;PM2,5;Diesel;3.0
2018;PM2,5;Diesel;3.0
2010;PM1;Diesel;4.0
2011;PM1;Diesel;4.0
2012;PM1;Diesel;3.0
2013;PM1;Diesel;3.0
2014;PM1;Diesel;2.0
2015;PM1;Diesel;2.0
2016;PM1;Diesel;2.0
2017;PM1;Diesel;2.0
2018;PM1;Diesel;1.0
2010;BC;Diesel;3.0
2011;BC;Diesel;2.8
2012;BC;Diesel;2.3
2013;BC;Diesel;2.1
2014;BC;Diesel;1.8
2015;BC;Diesel;1.6
2016;BC;Diesel;1.3
2017;BC;Diesel;1.1
2018;BC;Diesel;0.94
2010;du;Diesel;0.31
2011;du;Diesel;0.32
2012;du;Diesel;0.3
2013;du;Diesel;0.31
2014;du;Diesel;0.3
2015;du;Diesel;0.3
2016;du;Diesel;0.31
2017;du;Diesel;0.31
2018;du;Diesel;0.31
2010;Cd;Diesel;0.05
2011;Cd;Diesel;0.06
2012;Cd;Diesel;0.05
2013;Cd;Diesel;0.05
2014;Cd;Diesel;0.05
2015;Cd;Diesel;0.05
2016;Cd;Diesel;0.05
2017;Cd;Diesel;0.05
2018;Cd;Diesel;0.05
2010;Cr;Diesel;0.38
2011;Cr;Diesel;0.4
2012;Cr;Diesel;0.38
2013;Cr;Diesel;0.38
2014;Cr;Diesel;0.37
2015;Cr;Diesel;0.37
2016;Cr;Diesel;0.37
2017;Cr;Diesel;0.38
