Année;Diesel;Essence;GNV;Electriques;Emissions
1990;347.0;0.29;0.0;0.0;NOx
1991;359.0;0.29;0.0;0.0;NOx
1992;374.0;0.28;0.0;0.0;NOx
1993;369.0;0.26;0.01;0.0;NOx
1994;375.0;0.25;0.0;0.0;NOx
1995;370.0;0.24;0.0;0.0;NOx
1996;364.0;0.23;0.0;0.0;NOx
1997;372.0;0.24;0.0;0.0;NOx
1998;373.0;0.24;0.0;0.0;NOx
1999;376.0;0.24;0.0;0.0;NOx
2000;374.0;0.25;0.0;0.0;NOx
2001;369.0;0.23;0.05;0.0;NOx
2002;361.0;0.25;0.06;0.0;NOx
2003;344.0;0.22;0.08;0.0;NOx
2004;347.0;0.23;0.09;0.0;NOx
2005;335.0;0.24;0.11;0.0;NOx
2006;327.0;0.22;0.15;0.0;NOx
2007;317.0;0.16;0.17;0.0;NOx
2008;273.0;0.14;0.21;0.0;NOx
2009;235.0;0.12;0.2;0.0;NOx
1990;30.0;0.28;0.0;0.0;COVNM
1991;32.0;0.27;0.0;0.0;COVNM
1992;33.0;0.26;0.0;0.0;COVNM
1993;33.0;0.25;0.0;0.0;COVNM
1994;33.0;0.23;0.0;0.0;COVNM
1995;30.0;0.22;0.0;0.0;COVNM
1996;29.0;0.22;0.0;0.0;COVNM
1997;30.0;0.22;0.0;0.0;COVNM
1998;27.0;0.22;0.0;0.0;COVNM
1999;26.0;0.22;0.0;0.0;COVNM
2000;24.0;0.21;0.0;0.0;COVNM
2001;21.0;0.19;0.02;0.0;COVNM
2002;20.0;0.21;0.03;0.0;COVNM
2003;18.0;0.19;0.04;0.0;COVNM
2004;18.0;0.2;0.04;0.0;COVNM
2005;18.0;0.2;0.0;0.0;COVNM
2006;17.0;0.19;0.1;0.0;COVNM
2007;15.0;0.14;0.1;0.0;COVNM
2008;12.0;0.12;0.1;0.0;COVNM
2009;9.0;0.1;0.1;0.0;COVNM
1990;94.0;0.28;0.0;0.0;CO
1991;97.0;0.27;0.0;0.0;CO
1992;102.0;0.27;0.0;0.0;CO
