Année;Polluant;Fuel;Emissions
1990;NOx;Diesel;347.0
1991;NOx;Diesel;359.0
1992;NOx;Diesel;374.0
1993;NOx;Diesel;369.0
1994;NOx;Diesel;375.0
1995;NOx;Diesel;370.0
1996;NOx;Diesel;364.0
1997;NOx;Diesel;372.0
1998;NOx;Diesel;373.0
1999;NOx;Diesel;376.0
2000;NOx;Diesel;374.0
2001;NOx;Diesel;369.0
2002;NOx;Diesel;361.0
2003;NOx;Diesel;344.0
2004;NOx;Diesel;347.0
2005;NOx;Diesel;335.0
2006;NOx;Diesel;327.0
2007;NOx;Diesel;317.0
2008;NOx;Diesel;273.0
2009;NOx;Diesel;235.0
1990;COVNM;Diesel;30.0
1991;COVNM;Diesel;32.0
1992;COVNM;Diesel;33.0
1993;COVNM;Diesel;33.0
1994;COVNM;Diesel;33.0
1995;COVNM;Diesel;30.0
1996;COVNM;Diesel;29.0
1997;COVNM;Diesel;30.0
1998;COVNM;Diesel;27.0
1999;COVNM;Diesel;26.0
2000;COVNM;Diesel;24.0
2001;COVNM;Diesel;21.0
2002;COVNM;Diesel;20.0
2003;COVNM;Diesel;18.0
2004;COVNM;Diesel;18.0
2005;COVNM;Diesel;18.0
2006;COVNM;Diesel;17.0
2007;COVNM;Diesel;15.0
2008;COVNM;Diesel;12.0
2009;COVNM;Diesel;9.0
1990;CO;Diesel;94.0
1991;CO;Diesel;97.0
1992;CO;Diesel;102.0
1993;CO;Diesel;101.0
1994;CO;Diesel;101.0
1995;CO;Diesel;98.0
1996;CO;Diesel;96.0
1997;CO;Diesel;98.0
1998;CO;Diesel;96.0
1999;CO;Diesel;93.0
2000;CO;Diesel;92.0
2001;CO;Diesel;88.0
2002;CO;Diesel;86.0
2003;CO;Diesel;83.0
2004;CO;Diesel;88.0
2005;CO;Diesel;87.0
2006;CO;Diesel;89.0
2007;CO;Diesel;86.0
2008;CO;Diesel;71.0
2009;CO;Diesel;60.0
1990;PM10;Diesel;17.0
1991;PM10;Diesel;18.0
1992;PM10;Diesel;18.0
1993;PM10;Diesel;18.0
1994;PM10;Diesel;18.0
1995;PM10;Diesel;18.0
1996;PM10;Diesel;18.0
1997;PM10;Diesel;18.0
1998;PM10;Diesel;17.0
1999;PM10;Diesel;16.0
2000;PM10;Diesel;15.0
2001;PM10;Diesel;14.0
2002;PM10;Diesel;13.0
2003;PM10;Diesel;12.0
2004;PM10;Diesel;12.0
2005;PM10;Diesel;12.0
2006;PM10;Diesel;11.0
2007;PM10;Diesel;11.0
2008;PM10;Diesel;9.0
2009;PM10;Diesel;7.0
1990;PM2,5;Diesel;16.0
1991;PM2,5;Diesel;16.0
1992;PM2,5;Diesel;17.0
1993;PM2,5;Diesel;17.0
1994;PM2,5;Diesel;17.0
1995;PM2,5;Diesel;17.0
1996;PM2,5;Diesel;16.0
1997;PM2,5;Diesel;17.0
1998;PM2,5;Diesel;16.0
1999;PM2,5;Diesel;15.0
2000;PM2,5;Diesel;13.0
2001;PM2,5;Diesel;13.0
2002;PM2,5;Diesel;12.0
2003;PM2,5;Diesel;11.0
2004;PM2,5;Diesel;11.0
2005;PM2,5;Diesel;10.0
2006;PM2,5;Diesel;10.0
2007;PM2,5;Diesel;9.0
2008;PM2,5;Diesel;7.0
2009;PM2,5;Diesel;6.0
1990;PM1;Diesel;13.0
1991;PM1;Diesel;14.0
1992;PM1;Diesel;14.0
1993;PM1;Diesel;14.0
1994;PM1;Diesel;14.0
1995;PM1;Diesel;14.0
1996;PM1;Diesel;14.0
1997;PM1;Diesel;14.0
1998;PM1;Diesel;13.0
1999;PM1;Diesel;12.0
2000;PM1;Diesel;11.0
