Année;Diesel;Essence;Electriques;Emissions
2010;99.0;5.0;0.0;NOx
2011;99.0;4.0;0.0;NOx
2012;100.0;3.0;0.0;NOx
2013;106.0;2.0;0.0;NOx
2014;112.0;2.0;0.0;NOx
2015;118.0;1.0;0.0;NOx
2016;122.0;1.0;0.0;NOx
2017;127.0;1.0;0.0;NOx
2018;124.0;1.0;0.0;NOx
2010;9.2;8.0;0.0;COVNM
2011;8.2;6.0;0.0;COVNM
2012;7.7;5.0;0.0;COVNM
2013;6.7;4.0;0.0;COVNM
2014;5.6;3.0;0.0;COVNM
2015;5.0;3.0;0.0;COVNM
2016;4.3;2.0;0.0;COVNM
2017;3.7;2.0;0.0;COVNM
2018;3.0;2.0;0.0;COVNM
2010;52.0;83.0;0.0;CO
2011;49.0;60.0;0.0;CO
2012;46.0;53.0;0.0;CO
2013;40.0;45.0;0.0;CO
2014;35.0;35.0;0.0;CO
2015;31.0;33.0;0.0;CO
2016;27.0;29.0;0.0;CO
2017;24.0;26.0;0.0;CO
2018;20.0;24.0;0.0;CO
2010;11.0;0.5;0.0;PM10
2011;10.0;0.5;0.0;PM10
2012;10.0;0.4;0.0;PM10
2013;9.0;0.4;0.0;PM10
2014;8.0;0.4;0.0;PM10
2015;8.0;0.4;0.0;PM10
2016;7.0;0.4;0.0;PM10
2017;6.0;0.4;0.0;PM10
2018;6.0;0.4;0.0;PM10
2010;10.0;0.3;0.0;PM2,5
2011;9.0;0.3;0.0;PM2,5
2012;9.0;0.2;0.0;PM2,5
2013;8.0;0.2;0.0;PM2,5
2014;7.0;0.2;0.0;PM2,5
2015;6.0;0.2;0.0;PM2,5
2016;6.0;0.2;0.0;PM2,5
2017;5.0;0.2;0.0;PM2,5
2018;5.0;0.2;0.01;PM2,5
2010;8.0;0.06;0.0;PM1
2011;7.0;0.06;0.0;PM1
2012;7.0;0.05;0.0;PM1
2013;6.0;0.05;0.0;PM1
2014;5.0;0.05;0.0;PM1
2015;5.0;0.05;0.0;PM1
2016;4.0;0.05;0.0;PM1
2017;3.0;0.05;0.0;PM1
2018;3.0;0.05;0.0;PM1
2010;7.1;0.03;0.0;BC
2011;6.4;0.03;0.0;BC
2012;6.0;0.02;0.0;BC
2013;5.2;0.02;0.0;BC
2014;4.5;0.02;0.0;BC
2015;4.0;0.02;0.0;BC
2016;3.5;0.02;0.0;BC
2017;3.1;0.02;0.0;BC
2018;2.6;0.02;0.0;BC
2010;0.18;0.03;0.0;du
2011;0.18;0.03;0.0;du
2012;0.19;0.02;0.0;du
2013;0.19;0.02;0.0;du
2014;0.19;0.02;0.0;du
2015;0.2;0.02;0.0;du
2016;0.2;0.02;0.0;du
2017;0.21;0.02;0.0;du
2018;0.2;0.02;0.0;du
2010;0.07;0.01;0.0;Cd
2011;0.07;0.01;0.0;Cd
2012;0.07;0.01;0.0;Cd
2013;0.07;0.01;0.0;Cd
2014;0.07;0.0;0.0;Cd
2015;0.08;0.0;0.0;Cd
2016;0.08;0.0;0.0;Cd
2017;0.08;0.0;0.0;Cd
2018;0.08;0.0;0.0;Cd
2010;0.32;0.03;0.0;Cr
