Année;Diesel;Essence;Electriques;Emissions
1990;86.0;97.0;0.0;NOx
1991;96.0;92.0;0.0;NOx
1992;105.0;82.0;0.0;NOx
1993;113.0;71.0;0.0;NOx
1994;116.0;68.0;0.0;NOx
1995;117.0;57.0;0.0;NOx
1996;115.0;54.0;0.0;NOx
1997;114.0;51.0;0.0;NOx
1998;111.0;48.0;0.0;NOx
1999;111.0;44.0;0.0;NOx
2000;109.0;39.0;0.0;NOx
2001;111.0;37.0;0.0;NOx
2002;110.0;33.0;0.0;NOx
2003;110.0;29.0;0.0;NOx
2004;106.0;26.0;0.0;NOx
2005;106.0;21.0;0.0;NOx
2006;103.0;18.0;0.0;NOx
2007;99.0;14.0;0.0;NOx
2008;97.0;9.0;0.0;NOx
2009;97.0;7.0;0.0;NOx
1990;7.4;107.0;0.0;COVNM
1991;8.5;103.0;0.0;COVNM
1992;9.1;93.0;0.0;COVNM
1993;9.9;82.0;0.0;COVNM
1994;9.8;79.0;0.0;COVNM
1995;10.4;68.0;0.0;COVNM
1996;11.3;64.0;0.0;COVNM
1997;11.6;61.0;0.0;COVNM
1998;11.7;57.0;0.0;COVNM
1999;12.0;53.0;0.0;COVNM
2000;11.3;46.0;0.0;COVNM
2001;12.0;44.0;0.0;COVNM
2002;12.0;40.0;0.0;COVNM
2003;11.9;36.0;0.0;COVNM
2004;11.6;31.0;0.0;COVNM
2005;11.6;26.0;0.0;COVNM
2006;11.0;22.0;0.0;COVNM
2007;10.5;17.0;0.0;COVNM
2008;9.7;12.0;0.0;COVNM
2009;9.1;10.0;0.0;COVNM
1990;68.0;790.0;0.0;CO
1991;77.0;793.0;0.0;CO
1992;83.0;708.0;0.0;CO
1993;90.0;631.0;0.0;CO
1994;91.0;590.0;0.0;CO
1995;91.0;521.0;0.0;CO
1996;87.0;499.0;0.0;CO
1997;83.0;464.0;0.0;CO
1998;79.0;436.0;0.0;CO
1999;76.0;401.0;0.0;CO
2000;69.0;340.0;0.0;CO
2001;68.0;328.0;0.0;CO
2002;66.0;289.0;0.0;CO
2003;65.0;258.0;0.0;CO
2004;62.0;226.0;0.0;CO
2005;59.0;188.0;0.0;CO
2006;55.0;160.0;0.0;CO
2007;53.0;138.0;0.0;CO
2008;50.0;100.0;0.0;CO
2009;50.0;93.0;0.0;CO
1990;20.0;1.6;0.0;PM10
1991;23.0;1.4;0.0;PM10
1992;25.0;1.2;0.0;PM10
1993;27.0;1.0;0.0;PM10
1994;27.0;1.0;0.0;PM10
1995;27.0;0.8;0.0;PM10
1996;25.0;0.8;0.0;PM10
1997;24.0;0.7;0.0;PM10
1998;23.0;0.7;0.0;PM10
1999;21.0;0.6;0.0;PM10
2000;20.0;0.6;0.0;PM10
2001;19.0;0.5;0.0;PM10
2002;18.0;0.5;0.0;PM10
2003;18.0;0.5;0.0;PM10
2004;17.0;0.5;0.0;PM10
2005;15.0;0.5;0.0;PM10
2006;14.0;0.6;0.0;PM10
2007;13.0;0.6;0.0;PM10
2008;12.0;0.5;0.0;PM10
2009;11.0;0.5;0.0;PM10
1990;20.0;1.2;0.0;PM2,5
1991;22.0;1.1;0.0;PM2,5
1992;24.0;0.9;0.0;PM2,5
1993;26.0;0.7;0.0;PM2,5
1994;26.0;0.7;0.0;PM2,5
1995;26.0;0.6;0.0;PM2,5
1996;25.0;0.5;0.0;PM2,5
1997;23.0;0.5;0.0;PM2,5
1998;22.0;0.4;0.0;PM2,5
1999;21.0;0.4;0.0;PM2,5
2000;19.0;0.4;0.0;PM2,5
2001;18.0;0.3;0.0;PM2,5
2002;17.0;0.3;0.0;PM2,5
2003;17.0;0.3;0.0;PM2,5
2004;16.0;0.3;0.0;PM2,5
2005;14.0;0.3;0.0;PM2,5
2006;12.0;0.3;0.0;PM2,5
2007;12.0;0.3;0.0;PM2,5
2008;11.0;0.3;0.0;PM2,5
2009;10.0;0.3;0.0;PM2,5
1990;17.0;0.56;0.0;PM1
1991;20.0;0.5;0.0;PM1
1992;22.0;0.41;0.0;PM1
1993;23.0;0.33;0.0;PM1
1994;23.0;0.29;0.0;PM1
1995;23.0;0.24;0.0;PM1
1996;22.0;0.21;0.0;PM1
1997;20.0;0.18;0.0;PM1
