Année;Polluant;Fuel;Emissions
1990;NOx;Diesel;86.0
1991;NOx;Diesel;96.0
1992;NOx;Diesel;105.0
1993;NOx;Diesel;113.0
1994;NOx;Diesel;116.0
1995;NOx;Diesel;117.0
1996;NOx;Diesel;115.0
1997;NOx;Diesel;114.0
1998;NOx;Diesel;111.0
1999;NOx;Diesel;111.0
2000;NOx;Diesel;109.0
2001;NOx;Diesel;111.0
2002;NOx;Diesel;110.0
2003;NOx;Diesel;110.0
2004;NOx;Diesel;106.0
2005;NOx;Diesel;106.0
2006;NOx;Diesel;103.0
2007;NOx;Diesel;99.0
2008;NOx;Diesel;97.0
2009;NOx;Diesel;97.0
1990;COVNM;Diesel;7.4
1991;COVNM;Diesel;8.5
1992;COVNM;Diesel;9.1
1993;COVNM;Diesel;9.9
1994;COVNM;Diesel;9.8
1995;COVNM;Diesel;10.4
1996;COVNM;Diesel;11.3
1997;COVNM;Diesel;11.6
1998;COVNM;Diesel;11.7
1999;COVNM;Diesel;12.0
2000;COVNM;Diesel;11.3
2001;COVNM;Diesel;12.0
2002;COVNM;Diesel;12.0
2003;COVNM;Diesel;11.9
2004;COVNM;Diesel;11.6
2005;COVNM;Diesel;11.6
2006;COVNM;Diesel;11.0
2007;COVNM;Diesel;10.5
2008;COVNM;Diesel;9.7
2009;COVNM;Diesel;9.1
1990;CO;Diesel;68.0
1991;CO;Diesel;77.0
1992;CO;Diesel;83.0
1993;CO;Diesel;90.0
1994;CO;Diesel;91.0
1995;CO;Diesel;91.0
1996;CO;Diesel;87.0
1997;CO;Diesel;83.0
1998;CO;Diesel;79.0
1999;CO;Diesel;76.0
2000;CO;Diesel;69.0
2001;CO;Diesel;68.0
2002;CO;Diesel;66.0
2003;CO;Diesel;65.0
2004;CO;Diesel;62.0
2005;CO;Diesel;59.0
2006;CO;Diesel;55.0
2007;CO;Diesel;53.0
2008;CO;Diesel;50.0
2009;CO;Diesel;50.0
1990;PM10;Diesel;20.0
1991;PM10;Diesel;23.0
1992;PM10;Diesel;25.0
1993;PM10;Diesel;27.0
1994;PM10;Diesel;27.0
1995;PM10;Diesel;27.0
1996;PM10;Diesel;25.0
1997;PM10;Diesel;24.0
1998;PM10;Diesel;23.0
1999;PM10;Diesel;21.0
2000;PM10;Diesel;20.0
2001;PM10;Diesel;19.0
2002;PM10;Diesel;18.0
2003;PM10;Diesel;18.0
2004;PM10;Diesel;17.0
2005;PM10;Diesel;15.0
2006;PM10;Diesel;14.0
2007;PM10;Diesel;13.0
2008;PM10;Diesel;12.0
2009;PM10;Diesel;11.0
1990;PM2,5;Diesel;20.0
1991;PM2,5;Diesel;22.0
1992;PM2,5;Diesel;24.0
1993;PM2,5;Diesel;26.0
1994;PM2,5;Diesel;26.0
1995;PM2,5;Diesel;26.0
1996;PM2,5;Diesel;25.0
1997;PM2,5;Diesel;23.0
1998;PM2,5;Diesel;22.0
1999;PM2,5;Diesel;21.0
2000;PM2,5;Diesel;19.0
2001;PM2,5;Diesel;18.0
2002;PM2,5;Diesel;17.0
2003;PM2,5;Diesel;17.0
2004;PM2,5;Diesel;16.0
2005;PM2,5;Diesel;14.0
2006;PM2,5;Diesel;12.0
2007;PM2,5;Diesel;12.0
2008;PM2,5;Diesel;11.0
2009;PM2,5;Diesel;10.0
1990;PM1;Diesel;17.0
1991;PM1;Diesel;20.0
1992;PM1;Diesel;22.0
1993;PM1;Diesel;23.0
1994;PM1;Diesel;23.0
1995;PM1;Diesel;23.0
1996;PM1;Diesel;22.0
1997;PM1;Diesel;20.0
1998;PM1;Diesel;19.0
1999;PM1;Diesel;18.0
2000;PM1;Diesel;17.0
2001;PM1;Diesel;16.0
2002;PM1;Diesel;15.0
2003;PM1;Diesel;15.0
2004;PM1;Diesel;14.0
2005;PM1;Diesel;12.0
2006;PM1;Diesel;11.0
2007;PM1;Diesel;10.0
2008;PM1;Diesel;9.0
2009;PM1;Diesel;8.0
1990;BC;Diesel;10.0
1991;BC;Diesel;12.0
1992;BC;Diesel;13.0
1993;BC;Diesel;14.0
1994;BC;Diesel;14.0
1995;BC;Diesel;14.0
1996;BC;Diesel;14.0
1997;BC;Diesel;13.0
1998;BC;Diesel;12.0
1999;BC;Diesel;12.0
2000;BC;Diesel;11.0
2001;BC;Diesel;11.0
2002;BC;Diesel;11.0
2003;BC;Diesel;11.0
2004;BC;Diesel;10.0
2005;BC;Diesel;8.8
2006;BC;Diesel;8.2
2007;BC;Diesel;7.7
2008;BC;Diesel;7.1
2009;BC;Diesel;6.9
1990;du;Diesel;0.09
1991;du;Diesel;0.1
1992;du;Diesel;0.1
1993;du;Diesel;0.11
1994;du;Diesel;0.12
1995;du;Diesel;0.12
1996;du;Diesel;0.12
1997;du;Diesel;0.13
1998;du;Diesel;0.13
1999;du;Diesel;0.14
2000;du;Diesel;0.14
2001;du;Diesel;0.14
2002;du;Diesel;0.15
2003;du;Diesel;0.15
2004;du;Diesel;0.15
2005;du;Diesel;0.16
2006;du;Diesel;0.16
2007;du;Diesel;0.16
2008;du;Diesel;0.16
2009;du;Diesel;0.17
1990;Cd;Diesel;0.03
1991;Cd;Diesel;0.03
1992;Cd;Diesel;0.04
1993;Cd;Diesel;0.04
1994;Cd;Diesel;0.04
1995;Cd;Diesel;0.04
1996;Cd;Diesel;0.05
1997;Cd;Diesel;0.05
1998;Cd;Diesel;0.05
1999;Cd;Diesel;0.05
2000;Cd;Diesel;0.05
2001;Cd;Diesel;0.05
2002;Cd;Diesel;0.05
2003;Cd;Diesel;0.06
2004;Cd;Diesel;0.06
2005;Cd;Diesel;0.06
2006;Cd;Diesel;0.06
2007;Cd;Diesel;0.06
2008;Cd;Diesel;0.06
2009;Cd;Diesel;0.06
1990;Cr;Diesel;0.15
1991;Cr;Diesel;0.17
1992;Cr;Diesel;0.18
1993;Cr;Diesel;0.2
1994;Cr;Diesel;0.21
1995;Cr;Diesel;0.21
1996;Cr;Diesel;0.22
1997;Cr;Diesel;0.23
1998;Cr;Diesel;0.23
1999;Cr;Diesel;0.24
2000;Cr;Diesel;0.24
2001;Cr;Diesel;0.25
2002;Cr;Diesel;0.26
2003;Cr;Diesel;0.27
2004;Cr;Diesel;0.27
2005;Cr;Diesel;0.28
2006;Cr;Diesel;0.29
2007;Cr;Diesel;0.29
2008;Cr;Diesel;0.3
2009;Cr;Diesel;0.3
1990;Cu;Diesel;12.0
1991;Cu;Diesel;14.0
1992;Cu;Diesel;15.0
1993;Cu;Diesel;16.0
1994;Cu;Diesel;17.0
1995;Cu;Diesel;17.0
1996;Cu;Diesel;18.0
1997;Cu;Diesel;18.0
1998;Cu;Diesel;18.0
1999;Cu;Diesel;19.0
2000;Cu;Diesel;19.0
2001;Cu;Diesel;20.0
2002;Cu;Diesel;21.0
2003;Cu;Diesel;22.0
2004;Cu;Diesel;23.0
2005;Cu;Diesel;24.0
2006;Cu;Diesel;25.0
2007;Cu;Diesel;25.0
2008;Cu;Diesel;26.0
2009;Cu;Diesel;26.0
1990;Pb;Diesel;5.8
1991;Pb;Diesel;6.4
1992;Pb;Diesel;7.1
1993;Pb;Diesel;7.6
1994;Pb;Diesel;7.8
1995;Pb;Diesel;8.1
1996;Pb;Diesel;8.3
1997;Pb;Diesel;8.6
1998;Pb;Diesel;8.6
1999;Pb;Diesel;9.0
2000;Pb;Diesel;8.9
2001;Pb;Diesel;9.5
2002;Pb;Diesel;9.9
2003;Pb;Diesel;10.4
2004;Pb;Diesel;10.7
2005;Pb;Diesel;11.2
2006;Pb;Diesel;11.6
2007;Pb;Diesel;11.6
2008;Pb;Diesel;12.1
2009;Pb;Diesel;12.1
1990;Zn;Diesel;23.09
1991;Zn;Diesel;25.58
1992;Zn;Diesel;28.12
1993;Zn;Diesel;30.28
1994;Zn;Diesel;31.36
1995;Zn;Diesel;32.53
1996;Zn;Diesel;33.43
1997;Zn;Diesel;34.64
1998;Zn;Diesel;35.02
1999;Zn;Diesel;36.27
2000;Zn;Diesel;36.43
2001;Zn;Diesel;38.29
2002;Zn;Diesel;39.77
2003;Zn;Diesel;41.49
2004;Zn;Diesel;42.22
2005;Zn;Diesel;43.65
2006;Zn;Diesel;44.6
2007;Zn;Diesel;44.8
2008;Zn;Diesel;45.92
2009;Zn;Diesel;46.75
1990;HAP;Diesel;0.54
1991;HAP;Diesel;0.59
1992;HAP;Diesel;0.65
1993;HAP;Diesel;0.7
1994;HAP;Diesel;0.73
1995;HAP;Diesel;0.75
1996;HAP;Diesel;0.77
1997;HAP;Diesel;0.81
1998;HAP;Diesel;0.82
1999;HAP;Diesel;0.83
2000;HAP;Diesel;0.82
2001;HAP;Diesel;0.83
2002;HAP;Diesel;0.83
2003;HAP;Diesel;0.83
2004;HAP;Diesel;0.8
2005;HAP;Diesel;0.77
2006;HAP;Diesel;0.74
2007;HAP;Diesel;0.69
2008;HAP;Diesel;0.64
2009;HAP;Diesel;0.6
1990;PCDD-F;Diesel;2.71
1991;PCDD-F;Diesel;3.0
1992;PCDD-F;Diesel;3.29
1993;PCDD-F;Diesel;3.54
1994;PCDD-F;Diesel;3.67
1995;PCDD-F;Diesel;3.8
1996;PCDD-F;Diesel;3.91
1997;PCDD-F;Diesel;4.07
1998;PCDD-F;Diesel;4.15
1999;PCDD-F;Diesel;4.25
2000;PCDD-F;Diesel;4.32
2001;PCDD-F;Diesel;4.51
2002;PCDD-F;Diesel;4.67
2003;PCDD-F;Diesel;4.83
2004;PCDD-F;Diesel;4.86
2005;PCDD-F;Diesel;4.96
2006;PCDD-F;Diesel;5.01
2007;PCDD-F;Diesel;5.03
2008;PCDD-F;Diesel;5.12
2009;PCDD-F;Diesel;5.26
1990;SO2;Diesel;22.0
1991;SO2;Diesel;24.37
1992;SO2;Diesel;26.7
1993;SO2;Diesel;28.76
1994;SO2;Diesel;27.29
1995;SO2;Diesel;20.57
1996;SO2;Diesel;17.2
1997;SO2;Diesel;5.51
1998;SO2;Diesel;5.6
1999;SO2;Diesel;4.91
2000;SO2;Diesel;4.06
2001;SO2;Diesel;4.2
2002;SO2;Diesel;4.33
2003;SO2;Diesel;4.45
2004;SO2;Diesel;4.44
2005;SO2;Diesel;0.64
2006;SO2;Diesel;0.64
2007;SO2;Diesel;0.65
2008;SO2;Diesel;0.66
2009;SO2;Diesel;0.14
1990;Ni;Diesel;0.09
1991;Ni;Diesel;0.1
1992;Ni;Diesel;0.12
1993;Ni;Diesel;0.12
1994;Ni;Diesel;0.13
1995;Ni;Diesel;0.13
1996;Ni;Diesel;0.14
1997;Ni;Diesel;0.14
1998;Ni;Diesel;0.14
1999;Ni;Diesel;0.15
2000;Ni;Diesel;0.15
2001;Ni;Diesel;0.16
2002;Ni;Diesel;0.16
2003;Ni;Diesel;0.17
2004;Ni;Diesel;0.17
2005;Ni;Diesel;0.18
2006;Ni;Diesel;0.18
2007;Ni;Diesel;0.18
2008;Ni;Diesel;0.19
2009;Ni;Diesel;0.19
1990;benzène;Diesel;0.0
1991;benzène;Diesel;0.0
1992;benzène;Diesel;0.0
1993;benzène;Diesel;0.0
1994;benzène;Diesel;0.0
1995;benzène;Diesel;0.0
1996;benzène;Diesel;0.0
1997;benzène;Diesel;0.0
1998;benzène;Diesel;0.0
1999;benzène;Diesel;0.0
2000;benzène;Diesel;593.0
2001;benzène;Diesel;628.0
2002;benzène;Diesel;626.0
2003;benzène;Diesel;621.0
2004;benzène;Diesel;609.0
2005;benzène;Diesel;601.0
2006;benzène;Diesel;572.0
2007;benzène;Diesel;538.0
2008;benzène;Diesel;487.0
2009;benzène;Diesel;455.0
1990;NOx;Essence;97.0
1991;NOx;Essence;92.0
1992;NOx;Essence;82.0
1993;NOx;Essence;71.0
1994;NOx;Essence;68.0
1995;NOx;Essence;57.0
1996;NOx;Essence;54.0
1997;NOx;Essence;51.0
1998;NOx;Essence;48.0
1999;NOx;Essence;44.0
2000;NOx;Essence;39.0
2001;NOx;Essence;37.0
2002;NOx;Essence;33.0
2003;NOx;Essence;29.0
2004;NOx;Essence;26.0
2005;NOx;Essence;21.0
2006;NOx;Essence;18.0
2007;NOx;Essence;14.0
2008;NOx;Essence;9.0
2009;NOx;Essence;7.0
1990;COVNM;Essence;107.0
1991;COVNM;Essence;103.0
1992;COVNM;Essence;93.0
1993;COVNM;Essence;82.0
1994;COVNM;Essence;79.0
1995;COVNM;Essence;68.0
1996;COVNM;Essence;64.0
1997;COVNM;Essence;61.0
1998;COVNM;Essence;57.0
1999;COVNM;Essence;53.0
2000;COVNM;Essence;46.0
2001;COVNM;Essence;44.0
2002;COVNM;Essence;40.0
2003;COVNM;Essence;36.0
2004;COVNM;Essence;31.0
2005;COVNM;Essence;26.0
2006;COVNM;Essence;22.0
2007;COVNM;Essence;17.0
2008;COVNM;Essence;12.0
2009;COVNM;Essence;10.0
1990;CO;Essence;790.0
1991;CO;Essence;793.0
1992;CO;Essence;708.0
1993;CO;Essence;631.0
1994;CO;Essence;590.0
1995;CO;Essence;521.0
1996;CO;Essence;499.0
1997;CO;Essence;464.0
1998;CO;Essence;436.0
1999;CO;Essence;401.0
2000;CO;Essence;340.0
