Année;Polluant;Fuel;Emissions
2010;NOx;Diesel;204.0
2011;NOx;Diesel;202.0
2012;NOx;Diesel;207.0
2013;NOx;Diesel;207.0
2014;NOx;Diesel;210.0
2015;NOx;Diesel;215.0
2016;NOx;Diesel;214.0
2017;NOx;Diesel;207.0
2018;NOx;Diesel;197.0
2010;COVNM;Diesel;9.0
2011;COVNM;Diesel;7.0
2012;COVNM;Diesel;7.0
2013;COVNM;Diesel;6.0
2014;COVNM;Diesel;5.0
2015;COVNM;Diesel;5.0
2016;COVNM;Diesel;4.0
2017;COVNM;Diesel;4.0
2018;COVNM;Diesel;3.0
2010;CO;Diesel;40.0
2011;CO;Diesel;36.0
2012;CO;Diesel;33.0
2013;CO;Diesel;28.0
2014;CO;Diesel;26.0
2015;CO;Diesel;25.0
2016;CO;Diesel;23.0
2017;CO;Diesel;23.0
2018;CO;Diesel;21.0
2010;PM10;Diesel;21.0
2011;PM10;Diesel;19.0
2012;PM10;Diesel;19.0
2013;PM10;Diesel;18.0
2014;PM10;Diesel;17.0
2015;PM10;Diesel;17.0
2016;PM10;Diesel;16.0
2017;PM10;Diesel;15.0
2018;PM10;Diesel;14.0
2010;PM2,5;Diesel;19.0
2011;PM2,5;Diesel;17.0
2012;PM2,5;Diesel;16.0
2013;PM2,5;Diesel;15.0
2014;PM2,5;Diesel;14.0
2015;PM2,5;Diesel;14.0
2016;PM2,5;Diesel;13.0
2017;PM2,5;Diesel;12.0
2018;PM2,5;Diesel;11.0
2010;PM1;Diesel;14.0
2011;PM1;Diesel;13.0
2012;PM1;Diesel;12.0
2013;PM1;Diesel;11.0
2014;PM1;Diesel;10.0
2015;PM1;Diesel;10.0
2016;PM1;Diesel;9.0
2017;PM1;Diesel;8.0
2018;PM1;Diesel;7.0
2010;BC;Diesel;13.0
2011;BC;Diesel;11.0
2012;BC;Diesel;11.0
2013;BC;Diesel;9.8
2014;BC;Diesel;8.8
2015;BC;Diesel;8.4
2016;BC;Diesel;7.8
2017;BC;Diesel;7.0
2018;BC;Diesel;6.2
2010;du;Diesel;0.6
2011;du;Diesel;0.6
2012;du;Diesel;0.6
2013;du;Diesel;0.6
2014;du;Diesel;0.6
2015;du;Diesel;0.6
2016;du;Diesel;0.7
2017;du;Diesel;0.6
2018;du;Diesel;0.6
2010;Cd;Diesel;0.21
2011;Cd;Diesel;0.21
2012;Cd;Diesel;0.22
2013;Cd;Diesel;0.23
2014;Cd;Diesel;0.23
2015;Cd;Diesel;0.25
2016;Cd;Diesel;0.25
2017;Cd;Diesel;0.25
2018;Cd;Diesel;0.24
2010;Cr;Diesel;0.84
2011;Cr;Diesel;0.86
2012;Cr;Diesel;0.89
2013;Cr;Diesel;0.91
2014;Cr;Diesel;0.93
2015;Cr;Diesel;0.96
2016;Cr;Diesel;0.98
2017;Cr;Diesel;0.96
2018;Cr;Diesel;0.93
2010;Cu;Diesel;52.0
2011;Cu;Diesel;55.0
2012;Cu;Diesel;56.0
2013;Cu;Diesel;56.0
2014;Cu;Diesel;56.0
2015;Cu;Diesel;57.0
2016;Cu;Diesel;58.0
2017;Cu;Diesel;56.0
2018;Cu;Diesel;54.0
2010;Pb;Diesel;24.6
2011;Pb;Diesel;26.1
2012;Pb;Diesel;26.2
2013;Pb;Diesel;26.6
2014;Pb;Diesel;26.6
2015;Pb;Diesel;26.9
2016;Pb;Diesel;27.3
2017;Pb;Diesel;26.4
2018;Pb;Diesel;25.5
2010;Zn;Diesel;119.14
2011;Zn;Diesel;123.4
2012;Zn;Diesel;127.01
2013;Zn;Diesel;129.63
2014;Zn;Diesel;131.77
2015;Zn;Diesel;135.14
2016;Zn;Diesel;138.1
2017;Zn;Diesel;134.43
2018;Zn;Diesel;130.58
2010;HAP;Diesel;1.94
2011;HAP;Diesel;1.83
2012;HAP;Diesel;1.76
2013;HAP;Diesel;1.68
2014;HAP;Diesel;1.6
2015;HAP;Diesel;1.54
2016;HAP;Diesel;1.49
2017;HAP;Diesel;1.38
2018;HAP;Diesel;1.27
2010;PCDD-F;Diesel;18.08
2011;PCDD-F;Diesel;17.41
2012;PCDD-F;Diesel;16.52
2013;PCDD-F;Diesel;15.48
2014;PCDD-F;Diesel;14.53
2015;PCDD-F;Diesel;13.69
