Année;Diesel;Essence;GPL;GNV;Electriques;Emissions
1990;59.0;644.0;2.2;0.001;0.0;NOx
1991;65.0;628.0;2.0;0.001;0.0;NOx
1992;71.0;625.0;1.7;0.001;0.0;NOx
1993;77.0;581.0;1.4;0.005;0.0;NOx
1994;85.0;531.0;1.2;0.003;0.0;NOx
1995;96.0;473.0;0.9;0.001;0.0;NOx
1996;103.0;430.0;1.5;0.002;0.0;NOx
1997;108.0;382.0;2.6;0.001;0.0;NOx
1998;116.0;346.0;4.1;0.001;0.0;NOx
1999;124.0;307.0;4.9;0.001;0.0;NOx
2000;131.0;271.0;4.7;0.002;0.0;NOx
2001;145.0;232.0;4.1;0.011;0.0;NOx
2002;155.0;195.0;3.3;0.022;0.0;NOx
2003;167.0;161.0;2.6;0.017;0.0;NOx
2004;173.0;134.0;2.1;0.02;0.0;NOx
2005;176.0;104.0;1.7;0.021;0.0;NOx
2006;181.0;82.0;1.4;0.024;0.0;NOx
2007;186.0;66.0;1.1;0.018;0.0;NOx
2008;191.0;52.0;0.9;0.021;0.0;NOx
2009;200.0;41.0;0.7;0.018;0.0;NOx
1990;14.0;708.0;0.73;0.0;0.0;COVNM
1991;16.0;690.0;0.73;0.0;0.0;COVNM
1992;16.0;688.0;0.61;0.0;0.0;COVNM
1993;16.0;642.0;0.55;0.02;0.0;COVNM
1994;15.0;577.0;0.46;0.01;0.0;COVNM
1995;16.0;530.0;0.41;0.0;0.0;COVNM
1996;16.0;473.0;0.71;0.01;0.0;COVNM
1997;15.0;427.0;1.36;0.0;0.0;COVNM
1998;15.0;384.0;2.23;0.0;0.0;COVNM
1999;14.0;353.0;2.94;0.0;0.0;COVNM
2000;12.0;297.0;2.82;0.0;0.0;COVNM
2001;12.0;263.0;2.72;0.0;0.0;COVNM
2002;12.0;225.0;2.29;0.07;0.0;COVNM
2003;11.0;192.0;1.96;0.05;0.0;COVNM
2004;11.0;162.0;1.73;0.06;0.0;COVNM
2005;10.0;130.0;1.58;0.06;0.0;COVNM
2006;9.0;104.0;1.35;0.07;0.0;COVNM
2007;9.0;86.0;1.17;0.05;0.0;COVNM
2008;9.0;69.0;1.04;0.06;0.0;COVNM
2009;9.0;57.0;0.89;0.05;0.0;COVNM
1990;56.0;4465.0;7.6;0.0;0.0;CO
1991;62.0;4385.0;7.3;0.0;0.0;CO
1992;66.0;4230.0;6.2;0.0;0.0;CO
1993;70.0;3961.0;5.5;0.0;0.0;CO
1994;70.0;3332.0;4.5;0.02;0.0;CO
1995;75.0;3179.0;3.8;0.01;0.0;CO
1996;78.0;2853.0;6.3;0.01;0.0;CO
1997;77.0;2515.0;11.6;0.0;0.0;CO
1998;75.0;2275.0;19.5;0.0;0.0;CO
1999;73.0;2087.0;24.5;0.0;0.0;CO
2000;63.0;1698.0;25.2;0.01;0.0;CO
2001;62.0;1543.0;22.8;0.07;0.0;CO
2002;58.0;1323.0;18.8;0.14;0.0;CO
2003;56.0;1147.0;15.5;0.11;0.0;CO
2004;51.0;1033.0;13.3;0.14;0.0;CO
2005;47.0;824.0;11.5;0.16;0.0;CO
2006;44.0;669.0;9.7;0.17;0.0;CO
2007;43.0;596.0;8.4;0.14;0.0;CO
2008;41.0;495.0;7.4;0.17;0.0;CO
2009;41.0;393.0;6.1;0.15;0.0;CO
1990;25.0;9.4;0.02;0.0;0.0;PM10
1991;28.0;8.8;0.01;0.0;0.0;PM10
1992;30.0;8.4;0.01;0.0;0.0;PM10
1993;31.0;7.7;0.01;0.0;0.0;PM10
1994;30.0;7.0;0.01;0.0;0.0;PM10
1995;32.0;6.5;0.01;0.0;0.0;PM10
1996;32.0;6.0;0.01;0.0;0.0;PM10
1997;31.0;5.6;0.03;0.0;0.0;PM10
1998;31.0;5.3;0.05;0.0;0.0;PM10
1999;30.0;5.1;0.06;0.0;0.0;PM10
2000;27.0;4.7;0.07;0.0;0.0;PM10
2001;27.0;4.3;0.06;0.0;0.0;PM10
2002;26.0;4.1;0.06;0.0;0.0;PM10
2003;26.0;4.0;0.05;0.0;0.0;PM10
2004;25.0;3.8;0.05;0.0;0.0;PM10
2005;22.0;3.6;0.05;0.0;0.0;PM10
2006;21.0;3.4;0.05;0.0;0.0;PM10
2007;21.0;3.2;0.04;0.0;0.0;PM10
2008;21.0;2.9;0.04;0.0;0.0;PM10
2009;21.0;2.7;0.04;0.0;0.0;PM10
1990;24.0;7.4;0.01;0.0;0.0;PM2,5
1991;27.0;6.8;0.01;0.0;0.0;PM2,5
1992;29.0;6.4;0.01;0.0;0.0;PM2,5
1993;30.0;5.7;0.01;0.0;0.0;PM2,5
1994;29.0;5.1;0.01;0.0;0.0;PM2,5
1995;30.0;4.6;0.0;0.0;0.0;PM2,5
1996;31.0;4.2;0.01;0.0;0.0;PM2,5
1997;29.0;3.8;0.02;0.0;0.0;PM2,5
1998;29.0;3.6;0.03;0.0;0.0;PM2,5
1999;28.0;3.4;0.04;0.0;0.0;PM2,5
2000;26.0;3.1;0.04;0.0;0.0;PM2,5
2001;26.0;2.7;0.04;0.0;0.0;PM2,5
2002;24.0;2.6;0.03;0.0;0.0;PM2,5
2003;24.0;2.4;0.03;0.0;0.0;PM2,5
2004;23.0;2.3;0.03;0.0;0.0;PM2,5
2005;20.0;2.2;0.03;0.0;0.0;PM2,5
2006;19.0;2.0;0.03;0.0;0.0;PM2,5
2007;19.0;1.9;0.02;0.0;0.0;PM2,5
2008;18.0;1.8;0.02;0.0;0.0;PM2,5
2009;18.0;1.6;0.02;0.0;0.0;PM2,5
1990;22.0;3.9;0.0;0.0;0.0;PM1
1991;24.0;3.5;0.0;0.0;0.0;PM1
1992;26.0;3.1;0.0;0.0;0.0;PM1
1993;27.0;2.7;0.0;0.0;0.0;PM1
1994;25.0;2.3;0.0;0.0;0.0;PM1
1995;27.0;2.0;0.0;0.0;0.0;PM1
1996;27.0;1.7;0.0;0.0;0.0;PM1
1997;26.0;1.4;0.0;0.0;0.0;PM1
1998;25.0;1.3;0.0;0.0;0.0;PM1
1999;24.0;1.1;0.0;0.0;0.0;PM1
2000;22.0;0.9;0.0;0.0;0.0;PM1
2001;22.0;0.7;0.0;0.0;0.0;PM1
2002;21.0;0.6;0.0;0.0;0.0;PM1
2003;20.0;0.6;0.0;0.0;0.0;PM1
2004;19.0;0.6;0.0;0.0;0.0;PM1
2005;16.0;0.5;0.0;0.0;0.0;PM1
2006;15.0;0.5;0.0;0.0;0.0;PM1
2007;15.0;0.5;0.0;0.0;0.0;PM1
2008;14.0;0.4;0.0;0.0;0.0;PM1
2009;14.0;0.4;0.0;0.0;0.0;PM1
1990;13.0;0.75;0.0;0.0;0.0;BC
1991;15.0;0.74;0.0;0.0;0.0;BC
1992;16.0;0.72;0.0;0.0;0.0;BC
1993;16.0;0.67;0.0;0.0;0.0;BC
1994;16.0;0.6;0.0;0.0;0.0;BC
1995;17.0;0.55;0.0;0.0;0.0;BC
1996;18.0;0.51;0.0;0.0;0.0;BC
1997;17.0;0.47;0.0;0.0;0.0;BC
1998;17.0;0.44;0.0;0.0;0.0;BC
1999;17.0;0.41;0.0;0.0;0.0;BC
2000;15.0;0.37;0.0;0.0;0.0;BC
2001;16.0;0.31;0.0;0.0;0.0;BC
2002;15.0;0.29;0.0;0.0;0.0;BC
2003;15.0;0.28;0.0;0.0;0.0;BC
2004;15.0;0.27;0.0;0.0;0.0;BC
2005;13.0;0.25;0.0;0.0;0.0;BC
2006;12.0;0.23;0.0;0.0;0.0;BC
2007;12.0;0.21;0.0;0.0;0.0;BC
2008;12.0;0.19;0.0;0.0;0.0;BC
2009;12.0;0.18;0.0;0.0;0.0;BC
1990;0.2;0.5;0.0;0.0;0.0;du
1991;0.2;0.4;0.0;0.0;0.0;du
1992;0.2;0.5;0.0;0.0;0.0;du
1993;0.2;0.4;0.0;0.0;0.0;du
1994;0.2;0.4;0.0;0.0;0.0;du
1995;0.3;0.4;0.0;0.0;0.0;du
1996;0.3;0.4;0.0;0.0;0.0;du
1997;0.3;0.4;0.0;0.0;0.0;du
1998;0.3;0.4;0.0;0.0;0.0;du
1999;0.4;0.4;0.0;0.0;0.0;du
2000;0.4;0.4;0.0;0.0;0.0;du
2001;0.4;0.4;0.0;0.0;0.0;du
2002;0.4;0.4;0.0;0.0;0.0;du
2003;0.4;0.3;0.0;0.0;0.0;du
