Classes de places assises;Année;Gazole;Gaz naturel;Gazole-électricité;Autres hydrocarbures gazeux comprimés;Electricité;Autres énergies
Moins de 20 places;2010;7611;0;0;0;108;107
20 à 29 places;2010;14799;193;28;291;6;106
30 à 39 places;2010;7045;140;9;381;0;104
40 à 49 places;2010;7246;157;0;842;50;68
50 à 59 places;2010;22935;30;0;10;0;41
60 places et plus;2010;24886;116;0;93;0;7
Non déterminé;2010;3147;87;0;0;0;7
Moins de 20 places;2011;7496;1;0;0;117;94
20 à 29 places;2011;14212;280;28;254;11;101
30 à 39 places;2011;7468;165;21;374;12;118
40 à 49 places;2011;7565;200;2;810;50;68
50 à 59 places;2011;21512;51;0;1;0;28
60 places et plus;2011;27077;122;0;92;0;43
Non déterminé;2011;2980;86;0;0;0;12
Moins de 20 places;2012;7333;3;0;0;134;80
20 à 29 places;2012;13796;299;26;233;15;88
30 à 39 places;2012;7736;201;21;362;13;106
40 à 49 places;2012;8220;367;3;707;49;63
50 à 59 places;2012;19988;71;0;1;0;17
60 places et plus;2012;29866;129;0;84;0;46
Non déterminé;2012;2871;85;0;0;0;16
Moins de 20 places;2013;7283;7;0;0;157;76
20 à 29 places;2013;12922;353;26;186;20;69
30 à 39 places;2013;7855;238;21;345;13;97
40 à 49 places;2013;9148;635;3;540;49;58
50 à 59 places;2013;18699;100;0;0;0;8
60 places et plus;2013;32076;145;0;67;0;46
Non déterminé;2013;2785;54;0;0;0;18
Moins de 20 places;2014;7226;7;1;0;178;72
20 à 29 places;2014;12275;400;26;133;23;67
30 à 39 places;2014;7999;341;136;243;13;93
40 à 49 places;2014;10091;761;62;453;49;55
50 à 59 places;2014;17669;118;79;0;0;7
60 places et plus;2014;34516;158;0;62;0;47
Non déterminé;2014;2612;53;0;0;0;16
Moins de 20 places;2015;7047;7;2;0;215;65
20 à 29 places;2015;11504;445;26;86;27;63
30 à 39 places;2015;8140;385;138;168;13;89
40 à 49 places;2015;10898;831;89;400;49;55
50 à 59 places;2015;16657;118;79;0;0;7
60 places et plus;2015;36481;185;0;36;0;47
Non déterminé;2015;2326;53;0;0;0;15
Moins de 20 places;2016;6816;7;5;0;248;52
20 à 29 places;2016;11405;396;27;72;41;62
30 à 39 places;2016;8005;386;249;163;16;84
40 à 49 places;2016;11481;952;317;375;49;54
50 à 59 places;2016;16261;149;149;0;0;7
60 places et plus;2016;38741;216;2;22;0;46
Non déterminé;2016;2079;53;0;0;0;15
Moins de 20 places;2017;6592;6;5;0;275;49
20 à 29 places;2017;11429;346;27;57;74;46
30 à 39 places;2017;8077;382;326;143;16;77
40 à 49 places;2017;11440;1069;658;297;50;16
50 à 59 places;2017;15735;167;247;0;0;5
60 places et plus;2017;40600;234;4;21;0;44
Non déterminé;2017;1721;53;0;0;0;15
Moins de 20 places;2018;6247;6;5;0;275;46
20 à 29 places;2018;11317;262;14;38;124;46
30 à 39 places;2018;7976;365;385;115;19;56
40 à 49 places;2018;11683;1178;776;230;37;14
50 à 59 places;2018;15040;304;290;0;0;5
60 places et plus;2018;42092;262;5;17;22;44
Non déterminé;2018;1491;53;0;0;0;14
Moins de 20 places;2019;5917;6;7;0;284;28
20 à 29 places;2019;11363;226;23;21;157;40
30 à 39 places;2019;7895;298;387;93;33;51
40 à 49 places;2019;11313;1340;951;177;26;1
50 à 59 places;2019;14188;376;379;0;0;5
60 places et plus;2019;43322;313;7;17;46;41
Non déterminé;2019;1314;53;0;0;0;14
