Classes de places assises;Année;Fuel;Nb_véhicules
Moins de 20 places;2010;Gazole;7611
20 à 29 places;2010;Gazole;14799
30 à 39 places;2010;Gazole;7045
40 à 49 places;2010;Gazole;7246
50 à 59 places;2010;Gazole;22935
60 places et plus;2010;Gazole;24886
Non déterminé;2010;Gazole;3147
Moins de 20 places;2011;Gazole;7496
20 à 29 places;2011;Gazole;14212
30 à 39 places;2011;Gazole;7468
40 à 49 places;2011;Gazole;7565
50 à 59 places;2011;Gazole;21512
60 places et plus;2011;Gazole;27077
Non déterminé;2011;Gazole;2980
Moins de 20 places;2012;Gazole;7333
20 à 29 places;2012;Gazole;13796
30 à 39 places;2012;Gazole;7736
40 à 49 places;2012;Gazole;8220
50 à 59 places;2012;Gazole;19988
60 places et plus;2012;Gazole;29866
Non déterminé;2012;Gazole;2871
Moins de 20 places;2013;Gazole;7283
20 à 29 places;2013;Gazole;12922
30 à 39 places;2013;Gazole;7855
40 à 49 places;2013;Gazole;9148
50 à 59 places;2013;Gazole;18699
60 places et plus;2013;Gazole;32076
Non déterminé;2013;Gazole;2785
Moins de 20 places;2014;Gazole;7226
20 à 29 places;2014;Gazole;12275
30 à 39 places;2014;Gazole;7999
40 à 49 places;2014;Gazole;10091
50 à 59 places;2014;Gazole;17669
60 places et plus;2014;Gazole;34516
Non déterminé;2014;Gazole;2612
Moins de 20 places;2015;Gazole;7047
20 à 29 places;2015;Gazole;11504
30 à 39 places;2015;Gazole;8140
40 à 49 places;2015;Gazole;10898
50 à 59 places;2015;Gazole;16657
60 places et plus;2015;Gazole;36481
Non déterminé;2015;Gazole;2326
Moins de 20 places;2016;Gazole;6816
20 à 29 places;2016;Gazole;11405
30 à 39 places;2016;Gazole;8005
40 à 49 places;2016;Gazole;11481
50 à 59 places;2016;Gazole;16261
60 places et plus;2016;Gazole;38741
Non déterminé;2016;Gazole;2079
Moins de 20 places;2017;Gazole;6592
20 à 29 places;2017;Gazole;11429
30 à 39 places;2017;Gazole;8077
40 à 49 places;2017;Gazole;11440
50 à 59 places;2017;Gazole;15735
60 places et plus;2017;Gazole;40600
Non déterminé;2017;Gazole;1721
Moins de 20 places;2018;Gazole;6247
20 à 29 places;2018;Gazole;11317
30 à 39 places;2018;Gazole;7976
40 à 49 places;2018;Gazole;11683
50 à 59 places;2018;Gazole;15040
60 places et plus;2018;Gazole;42092
Non déterminé;2018;Gazole;1491
Moins de 20 places;2019;Gazole;5917
20 à 29 places;2019;Gazole;11363
30 à 39 places;2019;Gazole;7895
40 à 49 places;2019;Gazole;11313
50 à 59 places;2019;Gazole;14188
60 places et plus;2019;Gazole;43322
Non déterminé;2019;Gazole;1314
Moins de 20 places;2010;Gaz naturel;0
20 à 29 places;2010;Gaz naturel;193
30 à 39 places;2010;Gaz naturel;140
40 à 49 places;2010;Gaz naturel;157
50 à 59 places;2010;Gaz naturel;30
60 places et plus;2010;Gaz naturel;116
Non déterminé;2010;Gaz naturel;87
Moins de 20 places;2011;Gaz naturel;1
20 à 29 places;2011;Gaz naturel;280
30 à 39 places;2011;Gaz naturel;165
40 à 49 places;2011;Gaz naturel;200
50 à 59 places;2011;Gaz naturel;51
60 places et plus;2011;Gaz naturel;122
Non déterminé;2011;Gaz naturel;86
Moins de 20 places;2012;Gaz naturel;3
20 à 29 places;2012;Gaz naturel;299
30 à 39 places;2012;Gaz naturel;201
40 à 49 places;2012;Gaz naturel;367
50 à 59 places;2012;Gaz naturel;71
60 places et plus;2012;Gaz naturel;129
Non déterminé;2012;Gaz naturel;85
Moins de 20 places;2013;Gaz naturel;7
20 à 29 places;2013;Gaz naturel;353
30 à 39 places;2013;Gaz naturel;238
40 à 49 places;2013;Gaz naturel;635
50 à 59 places;2013;Gaz naturel;100
60 places et plus;2013;Gaz naturel;145
Non déterminé;2013;Gaz naturel;54
Moins de 20 places;2014;Gaz naturel;7
20 à 29 places;2014;Gaz naturel;400
30 à 39 places;2014;Gaz naturel;341
40 à 49 places;2014;Gaz naturel;761
