Année;Régions;Départements;Gazole;Essence;Essence-GPL;Electricité;Autres et non  déterminées;Total
2010;Auvergne-Rhône-Alpes;Ain;60174;3320;145;25;147;63811
2010;Auvergne-Rhône-Alpes;Allier;36648;1791;94;10;78;38621
2010;Auvergne-Rhône-Alpes;Haute-Loire;27115;1045;55;9;123;28347
2010;Auvergne-Rhône-Alpes;Savoie;51414;2692;135;29;283;54553
2010;Auvergne-Rhône-Alpes;Rhône;190493;8450;656;185;369;200153
2010;Auvergne-Rhône-Alpes;Ardèche;36194;1982;66;12;76;38330
2010;Auvergne-Rhône-Alpes;Puy-de-Dôme;64800;3155;175;23;233;68386
2010;Auvergne-Rhône-Alpes;Haute-Savoie;75184;4727;309;40;447;80707
2010;Auvergne-Rhône-Alpes;Loire;76403;2939;158;26;225;79751
2010;Auvergne-Rhône-Alpes;Drôme;62126;2541;157;33;188;65045
2010;Auvergne-Rhône-Alpes;Cantal;19916;792;16;4;62;20790
2010;Auvergne-Rhône-Alpes;Isère;121564;6498;627;77;463;129229
2010;Bourgogne-Franche-Comté;Doubs;48236;2955;287;52;263;51793
2010;Bourgogne-Franche-Comté;Côte-d'Or;56820;3406;203;22;172;60623
2010;Bourgogne-Franche-Comté;Haute-Saône;25365;1837;45;41;55;27343
2010;Bourgogne-Franche-Comté;Yonne;41037;2333;144;8;143;43665
2010;Bourgogne-Franche-Comté;Jura;29408;1991;80;19;45;31543
2010;Bourgogne-Franche-Comté;Nièvre;24188;1580;65;2;127;25962
2010;Bourgogne-Franche-Comté;Saône-et-Loire;61467;3680;242;21;143;65553
2010;Bourgogne-Franche-Comté;Territoire de Belfort;10340;854;31;1;30;11256
2010;Bretagne;Ille-et-Vilaine;105415;4174;303;26;255;110173
2010;Bretagne;Morbihan;79157;3524;220;18;129;83048
2010;Bretagne;Côtes-d'Armor;71290;3151;125;18;83;74667
2010;Bretagne;Finistère;98916;4580;191;28;96;103811
2010;Centre-Val de Loire;Loir-et-Cher;37837;2171;68;24;68;40168
