Année;Régions;Départements;Fuel;Nb_véhicules
2010;Auvergne-Rhône-Alpes;Ain;Gazole;60174
2010;Auvergne-Rhône-Alpes;Allier;Gazole;36648
2010;Auvergne-Rhône-Alpes;Haute-Loire;Gazole;27115
2010;Auvergne-Rhône-Alpes;Savoie;Gazole;51414
2010;Auvergne-Rhône-Alpes;Rhône;Gazole;190493
2010;Auvergne-Rhône-Alpes;Ardèche;Gazole;36194
2010;Auvergne-Rhône-Alpes;Puy-de-Dôme;Gazole;64800
2010;Auvergne-Rhône-Alpes;Haute-Savoie;Gazole;75184
2010;Auvergne-Rhône-Alpes;Loire;Gazole;76403
2010;Auvergne-Rhône-Alpes;Drôme;Gazole;62126
2010;Auvergne-Rhône-Alpes;Cantal;Gazole;19916
2010;Auvergne-Rhône-Alpes;Isère;Gazole;121564
2010;Bourgogne-Franche-Comté;Doubs;Gazole;48236
2010;Bourgogne-Franche-Comté;Côte-d'Or;Gazole;56820
2010;Bourgogne-Franche-Comté;Haute-Saône;Gazole;25365
2010;Bourgogne-Franche-Comté;Yonne;Gazole;41037
2010;Bourgogne-Franche-Comté;Jura;Gazole;29408
2010;Bourgogne-Franche-Comté;Nièvre;Gazole;24188
2010;Bourgogne-Franche-Comté;Saône-et-Loire;Gazole;61467
2010;Bourgogne-Franche-Comté;Territoire de Belfort;Gazole;10340
2010;Bretagne;Ille-et-Vilaine;Gazole;105415
2010;Bretagne;Morbihan;Gazole;79157
2010;Bretagne;Côtes-d'Armor;Gazole;71290
2010;Bretagne;Finistère;Gazole;98916
2010;Centre-Val de Loire;Loir-et-Cher;Gazole;37837
2010;Centre-Val de Loire;Loiret;Gazole;70321
2010;Centre-Val de Loire;Indre-et-Loire;Gazole;62611
2010;Centre-Val de Loire;Eure-et-Loir;Gazole;45034
2010;Centre-Val de Loire;Indre;Gazole;28499
2010;Centre-Val de Loire;Cher;Gazole;33475
2010;Corse;Corse-du-Sud;Gazole;21798
2010;Corse;Haute-Corse;Gazole;23975
2010;Grand Est;Bas-Rhin;Gazole;94503
2010;Grand Est;Vosges;Gazole;38618
2010;Grand Est;Marne;Gazole;82634
2010;Grand Est;Meurthe-et-Moselle;Gazole;58626
2010;Grand Est;Haute-Marne;Gazole;19668
2010;Grand Est;Meuse;Gazole;19534
2010;Grand Est;Aube;Gazole;34674
2010;Grand Est;Haut-Rhin;Gazole;60344
2010;Grand Est;Moselle;Gazole;76295
2010;Grand Est;Ardennes;Gazole;25620
2010;Hauts-de-France;Somme;Gazole;49200
2010;Hauts-de-France;Nord;Gazole;178772
2010;Hauts-de-France;Oise;Gazole;98248
2010;Hauts-de-France;Aisne;Gazole;49527
2010;Hauts-de-France;Pas-de-Calais;Gazole;105396
2010;Normandie;Eure;Gazole;57225
2010;Normandie;Orne;Gazole;35200
2010;Normandie;Manche;Gazole;57363
