Classes de PTAC;Année;Gazole;Essence;Electricité;Essence-GPL;Autres et non  déterminées
  3,6 à 6,0 tonnes;2010;9921;81;67;1;198
  6,1 à 10,9 tonnes;2010;52855;37;0;1;128
  11,0 à 19,0 tonnes;2010;197092;104;0;0;236
  19,1 à  21,0 tonnes;2010;4135;0;0;0;20
  21,1 à 26,0 tonnes;2010;70731;0;0;0;157
  26,1 tonnes et plus;2010;26316;21;0;1;433
  Non déterminée;2010;4552;71;0;0;609
  3,6 à 6,0 tonnes;2011;9169;77;94;1;185
  6,1 à 10,9 tonnes;2011;48917;34;1;1;113
  11,0 à 19,0 tonnes;2011;189435;88;1;1;202
  19,1 à  21,0 tonnes;2011;5455;1;0;0;16
  21,1 à 26,0 tonnes;2011;68494;0;0;0;133
  26,1 tonnes et plus;2011;29052;18;0;1;412
  Non déterminée;2011;3742;51;0;0;457
  3,6 à 6,0 tonnes;2012;8505;73;102;2;167
  6,1 à 10,9 tonnes;2012;45795;32;1;1;101
  11,0 à 19,0 tonnes;2012;185389;83;1;2;194
  19,1 à  21,0 tonnes;2012;7187;1;0;0;15
  21,1 à 26,0 tonnes;2012;67432;0;0;0;122
  26,1 tonnes et plus;2012;33287;19;0;1;397
  Non déterminée;2012;3089;43;0;0;351
  3,6 à 6,0 tonnes;2013;8031;70;106;2;153
  6,1 à 10,9 tonnes;2013;42929;25;1;1;88
  11,0 à 19,0 tonnes;2013;181698;75;4;3;185
  19,1 à  21,0 tonnes;2013;8357;1;0;0;13
  21,1 à 26,0 tonnes;2013;67049;0;0;0;124
  26,1 tonnes et plus;2013;36816;17;0;1;369
  Non déterminée;2013;2738;37;0;0;267
  3,6 à 6,0 tonnes;2014;7768;67;77;2;136
  6,1 à 10,9 tonnes;2014;41051;24;2;1;112
  11,0 à 19,0 tonnes;2014;178922;61;5;2;167
  19,1 à  21,0 tonnes;2014;9288;1;0;0;19
  21,1 à 26,0 tonnes;2014;67563;0;0;0;116
  26,1 tonnes et plus;2014;40174;16;0;1;352
  Non déterminée;2014;2448;36;0;0;218
  3,6 à 6,0 tonnes;2015;7402;61;88;3;112
  6,1 à 10,9 tonnes;2015;38980;23;3;1;124
  11,0 à 19,0 tonnes;2015;174422;55;4;2;180
  19,1 à  21,0 tonnes;2015;9667;1;0;0;15
  21,1 à 26,0 tonnes;2015;67775;0;0;0;117
  26,1 tonnes et plus;2015;42360;16;0;1;335
  Non déterminée;2015;2190;30;0;0;168
  3,6 à 6,0 tonnes;2016;7025;55;88;3;106
  6,1 à 10,9 tonnes;2016;36682;22;3;0;146
  11,0 à 19,0 tonnes;2016;169591;43;4;2;182
  19,1 à  21,0 tonnes;2016;9613;1;0;0;12
  21,1 à 26,0 tonnes;2016;67662;1;0;0;118
  26,1 tonnes et plus;2016;43345;12;0;1;315
  Non déterminée;2016;1908;23;0;0;125
  3,6 à 6,0 tonnes;2017;6746;44;83;7;92
  6,1 à 10,9 tonnes;2017;34729;23;3;0;228
  11,0 à 19,0 tonnes;2017;166772;37;4;2;216
  19,1 à  21,0 tonnes;2017;9339;1;0;0;15
  21,1 à 26,0 tonnes;2017;68521;1;0;0;141
  26,1 tonnes et plus;2017;45075;10;0;0;291
  Non déterminée;2017;1670;21;0;0;102
  3,6 à 6,0 tonnes;2018;6482;39;84;7;83
  6,1 à 10,9 tonnes;2018;33099;17;6;2;287
  11,0 à 19,0 tonnes;2018;165489;29;4;2;360
  19,1 à  21,0 tonnes;2018;9156;1;0;0;18
  21,1 à 26,0 tonnes;2018;70467;2;0;0;251
  26,1 tonnes et plus;2018;47851;6;0;1;250
  Non déterminée;2018;1434;18;0;0;78
  3,6 à 6,0 tonnes;2019;6226;36;85;7;85
  6,1 à 10,9 tonnes;2019;31527;16;6;2;370
  11,0 à 19,0 tonnes;2019;163362;24;6;2;512
  19,1 à  21,0 tonnes;2019;8687;1;0;0;21
  21,1 à 26,0 tonnes;2019;72430;1;0;0;377
  26,1 tonnes et plus;2019;51072;4;0;1;216
  Non déterminée;2019;1198;11;0;0;57
