Classes de PTAC;Année;Gazole;Essence;Electricité;Essence-GPL;Autres et non  déterminées
  Moins de 1,5 tonnes;2010;765442;219360;1320;5058;5629
  1,5 à 2,5 tonnes;2010;2959183;84294;3399;14834;5957
  2,6 à 3,5 tonnes;2010;2084076;13203;51;2276;3174
  Non déterminée;2010;509;202;0;5;32
  Moins de 1,5 tonnes;2011;663230;166309;1257;4540;4785
  1,5 à 2,5 tonnes;2011;3028521;80463;3537;14554;5803
  2,6 à 3,5 tonnes;2011;2138589;10690;40;2358;3280
  Non déterminée;2011;600;190;0;7;30
  Moins de 1,5 tonnes;2012;560859;129962;1233;4116;4064
  1,5 à 2,5 tonnes;2012;3089880;78203;4463;14044;5712
  2,6 à 3,5 tonnes;2012;2216306;9109;115;2445;3171
  Non déterminée;2012;724;174;2;9;28
  Moins de 1,5 tonnes;2013;475644;103382;1395;3650;3488
  1,5 à 2,5 tonnes;2013;3144247;76307;7408;13511;5672
  2,6 à 3,5 tonnes;2013;2296023;7957;135;2501;3050
  Non déterminée;2013;757;161;2;9;26
  Moins de 1,5 tonnes;2014;405854;88852;1464;3399;3028
  1,5 à 2,5 tonnes;2014;3219196;76507;12135;13152;5642
  2,6 à 3,5 tonnes;2014;2388665;7308;149;2612;2872
  Non déterminée;2014;786;150;2;13;25
  Moins de 1,5 tonnes;2015;329971;74314;1904;3208;2737
  1,5 à 2,5 tonnes;2015;3268697;76063;15681;12873;5784
  2,6 à 3,5 tonnes;2015;2465951;6764;176;2797;2740
  Non déterminée;2015;770;138;5;14;25
  Moins de 1,5 tonnes;2016;252910;61499;2249;3075;2532
  1,5 à 2,5 tonnes;2016;3263293;76225;19702;12558;5845
  2,6 à 3,5 tonnes;2016;2544290;6337;182;2951;2555
  Non déterminée;2016;770;135;5;16;22
  Moins de 1,5 tonnes;2017;186548;46868;2647;2848;2354
  1,5 à 2,5 tonnes;2017;3195817;73589;23576;12080;5822
  2,6 à 3,5 tonnes;2017;2640245;5712;201;3004;2579
  Non déterminée;2017;853;141;5;18;32
  Moins de 1,5 tonnes;2018;134607;37550;2686;2322;2127
  1,5 à 2,5 tonnes;2018;3131906;72180;27978;11434;5960
  2,6 à 3,5 tonnes;2018;2759825;5342;222;2988;2801
  Non déterminée;2018;903;138;5;19;42
  Moins de 1,5 tonnes;2019;99272;31208;2659;1771;1953
  1,5 à 2,5 tonnes;2019;3028853;70173;33621;9470;6073
  2,6 à 3,5 tonnes;2019;2881994;5272;337;2959;3038
  Non déterminée;2019;924;124;5;18;50
