Année;Régions;Départements;Fuel;Nb_véhicules
2011;Auvergne-Rhône-Alpes;Ain;Essence+Superéthanol;121946
2011;Auvergne-Rhône-Alpes;Allier;Essence+Superéthanol;63665
2011;Auvergne-Rhône-Alpes;Haute-Loire;Essence+Superéthanol;35047
2011;Auvergne-Rhône-Alpes;Savoie;Essence+Superéthanol;83682
2011;Auvergne-Rhône-Alpes;Rhône;Essence+Superéthanol;349385
2011;Auvergne-Rhône-Alpes;Ardèche;Essence+Superéthanol;56597
2011;Auvergne-Rhône-Alpes;Puy-de-Dôme;Essence+Superéthanol;119061
2011;Auvergne-Rhône-Alpes;Haute-Savoie;Essence+Superéthanol;193041
2011;Auvergne-Rhône-Alpes;Loire;Essence+Superéthanol;130512
2011;Auvergne-Rhône-Alpes;Drôme;Essence+Superéthanol;93697
2011;Auvergne-Rhône-Alpes;Cantal;Essence+Superéthanol;22344
2011;Auvergne-Rhône-Alpes;Isère;Essence+Superéthanol;257224
2011;Bourgogne-Franche-Comté;Doubs;Essence+Superéthanol;102894
2011;Bourgogne-Franche-Comté;Côte-d'Or;Essence+Superéthanol;100539
2011;Bourgogne-Franche-Comté;Haute-Saône;Essence+Superéthanol;38818
2011;Bourgogne-Franche-Comté;Yonne;Essence+Superéthanol;57664
2011;Bourgogne-Franche-Comté;Jura;Essence+Superéthanol;47233
2011;Bourgogne-Franche-Comté;Nièvre;Essence+Superéthanol;38429
2011;Bourgogne-Franche-Comté;Saône-et-Loire;Essence+Superéthanol;105705
2011;Bourgogne-Franche-Comté;Territoire de Belfort;Essence+Superéthanol;30267
2011;Bretagne;Ille-et-Vilaine;Essence+Superéthanol;162678
2011;Bretagne;Morbihan;Essence+Superéthanol;126979
2011;Bretagne;Côtes-d'Armor;Essence+Superéthanol;98840
2011;Bretagne;Finistère;Essence+Superéthanol;166073
2011;Centre-Val de Loire;Loir-et-Cher;Essence+Superéthanol;58004
2011;Centre-Val de Loire;Loiret;Essence+Superéthanol;127065
2011;Centre-Val de Loire;Indre-et-Loire;Essence+Superéthanol;109648
2011;Centre-Val de Loire;Eure-et-Loir;Essence+Superéthanol;76237
2011;Centre-Val de Loire;Indre;Essence+Superéthanol;34444
