Année;Régions;Départements;Essence+Superéthanol;Electricité-Essence;Gazole;Essence-GPL;Electricité;Gazole-électricité;Autres et non détectés;Total
2011;Auvergne-Rhône-Alpes;Ain;121946;410;204179;1651;12;0;138;328336
2011;Auvergne-Rhône-Alpes;Allier;63665;114;113563;1061;8;0;22;178433
2011;Auvergne-Rhône-Alpes;Haute-Loire;35047;91;84359;930;2;0;27;120456
2011;Auvergne-Rhône-Alpes;Savoie;83682;319;149496;1760;8;0;61;235326
2011;Auvergne-Rhône-Alpes;Rhône;349385;1167;518104;5348;82;0;173;874259
2011;Auvergne-Rhône-Alpes;Ardèche;56597;148;111237;1262;11;0;30;169285
2011;Auvergne-Rhône-Alpes;Puy-de-Dôme;119061;379;215909;2201;23;0;60;337633
2011;Auvergne-Rhône-Alpes;Haute-Savoie;193041;866;259023;2889;18;0;129;455966
2011;Auvergne-Rhône-Alpes;Loire;130512;268;247911;2414;14;0;74;381193
2011;Auvergne-Rhône-Alpes;Drôme;93697;316;176683;2050;22;0;48;272816
2011;Auvergne-Rhône-Alpes;Cantal;22344;69;54209;457;3;0;11;77093
2011;Auvergne-Rhône-Alpes;Isère;257224;711;431524;5888;32;0;207;695586
2011;Bourgogne-Franche-Comté;Doubs;102894;219;189443;1742;32;0;45;294375
2011;Bourgogne-Franche-Comté;Côte-d'Or;100539;372;172022;1818;8;0;56;274815
2011;Bourgogne-Franche-Comté;Haute-Saône;38818;74;91329;689;14;0;21;130945
2011;Bourgogne-Franche-Comté;Yonne;57664;195;118850;1429;2;0;30;178170
2011;Bourgogne-Franche-Comté;Jura;47233;107;95426;1309;2;0;69;144146
2011;Bourgogne-Franche-Comté;Nièvre;38429;100;71146;685;1;0;57;110418
2011;Bourgogne-Franche-Comté;Saône-et-Loire;105705;275;185518;1794;13;0;71;293376
2011;Bourgogne-Franche-Comté;Territoire de Belfort;30267;39;42681;373;2;0;17;73379
2011;Bretagne;Ille-et-Vilaine;162678;472;325655;4090;20;0;33;492948
2011;Bretagne;Morbihan;126979;406;260238;2451;16;0;61;390151
2011;Bretagne;Côtes-d'Armor;98840;273;215613;2250;5;0;34;317015
2011;Bretagne;Finistère;166073;545;325673;2733;30;0;62;495116
2011;Centre-Val de Loire;Loir-et-Cher;58004;185;117329;1085;9;0;53;176665
2011;Centre-Val de Loire;Loiret;127065;409;222597;2311;32;0;76;352490
2011;Centre-Val de Loire;Indre-et-Loire;109648;413;182235;2426;23;0;58;294803
2011;Centre-Val de Loire;Eure-et-Loir;76237;218;155337;1585;39;0;33;233449
2011;Centre-Val de Loire;Indre;34444;143;79499;721;12;0;18;114837
2011;Centre-Val de Loire;Cher;54161;200;103548;684;19;0;67;158679
2011;Corse;Corse-du-Sud;43908;66;44385;396;3;0;15;88773
2011;Corse;Haute-Corse;40969;64;54773;377;1;0;17;96201
2011;Grand Est;Bas-Rhin;228285;860;353491;3215;62;0;286;586199
2011;Grand Est;Vosges;64964;139;139325;1586;9;0;42;206065
2011;Grand Est;Marne;140105;406;202125;1701;8;0;41;344386
2011;Grand Est;Meurthe-et-Moselle;135251;496;244648;2265;12;0;47;382719
2011;Grand Est;Haute-Marne;27541;66;64503;727;5;0;7;92849
2011;Grand Est;Meuse;28781;84;69176;564;1;0;13;98619
2011;Grand Est;Aube;51188;163;101161;917;5;0;20;153454
2011;Grand Est;Haut-Rhin;178989;582;239163;2100;17;0;94;420945
2011;Grand Est;Moselle;212600;542;372684;2336;36;0;88;588286
2011;Grand Est;Ardennes;40892;82;99779;1145;3;0;29;141930
2011;Hauts-de-France;Somme;82127;198;193671;1558;22;0;42;277618
2011;Hauts-de-France;Nord;410323;1368;838522;15332;85;0;264;1265894
2011;Hauts-de-France;Oise;193017;673;372075;2683;6;0;121;568575
2011;Hauts-de-France;Aisne;92546;198;198967;1751;7;0;32;293501
2011;Hauts-de-France;Pas-de-Calais;209371;537;482671;5486;27;0;72;698164
2011;Normandie;Eure;93941;289;206943;2006;10;0;52;303241
2011;Normandie;Orne;40806;171;100897;877;5;0;19;142775
2011;Normandie;Manche;75161;214;175454;2061;16;0;35;252941
2011;Normandie;Seine-Maritime;249085;491;437917;3815;16;0;87;691411
2011;Normandie;Calvados;117144;435;224239;3115;29;0;85;345047
2011;Nouvelle-Aquitaine;Landes;70666;245;151325;1908;1;0;38;224183
2011;Nouvelle-Aquitaine;Pyrénées-Atlantiques;136350;509;234706;2448;18;0;54;374085
2011;Nouvelle-Aquitaine;Dordogne;65439;335;147692;2056;8;0;56;215586
2011;Nouvelle-Aquitaine;Vienne;68997;277;144366;1881;19;0;58;215598
2011;Nouvelle-Aquitaine;Gironde;289821;1085;502455;6808;277;0;179;800625
2011;Nouvelle-Aquitaine;Deux-Sèvres;78992;274;159320;1737;22;0;36;240381
2011;Nouvelle-Aquitaine;Haute-Vienne;68935;238;123916;968;4;0;34;194095
2011;Nouvelle-Aquitaine;Creuse;17958;56;44061;334;0;0;3;62412
2011;Nouvelle-Aquitaine;Corrèze;43914;130;88564;800;3;0;26;133437
2011;Nouvelle-Aquitaine;Lot-et-Garonne;50441;176;124798;1354;5;0;43;176817
2011;Nouvelle-Aquitaine;Charente;55665;180;125769;1167;14;0;21;182816
2011;Nouvelle-Aquitaine;Charente-Maritime;112518;597;217683;2850;130;0;72;333850
2011;Occitanie;Hérault;212042;764;359713;3833;16;0;118;576486
2011;Occitanie;Pyrénées-Orientales;91101;261;150269;1146;15;0;30;242822
2011;Occitanie;Tarn;61429;190;138078;1666;9;0;31;201403
2011;Occitanie;Ariège;22577;109;56755;854;4;0;35;80334
2011;Occitanie;Gard;138341;472;251043;2771;12;0;63;392702
2011;Occitanie;Aveyron;40397;110;107152;883;6;0;32;148580
2011;Occitanie;Haute-Garonne;233756;934;428258;5410;17;0;171;668546
2011;Occitanie;Lot;27764;126;64106;760;3;0;18;92777
2011;Occitanie;Aude;58675;205;126808;1089;7;0;36;186820
2011;Occitanie;Tarn-et-Garonne;34897;109;93240;1239;4;0;23;129512
2011;Occitanie;Hautes-Pyrénées;40150;96;83218;1249;4;0;31;124748
2011;Occitanie;Gers;26665;121;75624;863;4;0;18;103295
2011;Occitanie;Lozère;10943;24;31205;227;2;0;8;42409
2011;Pays de la Loire;Vendée;109971;563;238077;2100;19;0;41;350771
2011;Pays de la Loire;Mayenne;43386;106;109081;1670;6;0;10;154259
2011;Pays de la Loire;Sarthe;95400;367;178236;2717;19;0;50;276789
2011;Pays de la Loire;Maine-et-Loire;127039;461;252639;3135;41;0;47;383362
2011;Pays de la Loire;Loire-Atlantique;253906;851;420496;5656;31;0;118;681058
2011;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;315665;1273;291483;3241;32;0;235;611929
2011;Provence-Alpes-Côte d'Azur;Vaucluse;110740;492;202886;2498;9;0;65;316690
2011;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;415036;1390;635981;6982;46;0;177;1059612
2011;Provence-Alpes-Côte d'Azur;Hautes-Alpes;25652;135;50253;830;2;0;19;76891
2011;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;30895;127;57848;794;0;0;18;89682
2011;Provence-Alpes-Côte d'Azur;Var;259651;942;331946;3649;18;0;160;596366
2011;Île-de-France;Essonne;262285;1234;363663;4418;40;0;127;631767
